"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,20","10,00","11,33","8,71","1,20M","-8,18%"
"01.03.2024","10,02","8,02","10,10","7,96","1,02M","25,41%"
"01.02.2024","7,99","7,17","8,30","6,90","16,74M","11,28%"
"01.01.2024","7,18","6,96","7,46","6,41","25,70M","3,16%"
"01.12.2023","6,96","6,70","7,24","6,48","25,76M","3,73%"
"01.11.2023","6,71","6,31","7,50","6,22","41,35M","7,02%"
"01.10.2023","6,27","7,20","7,20","6,13","29,09M","-12,92%"
"01.09.2023","7,20","8,17","8,70","6,53","28,40M","-10,45%"
"01.08.2023","8,04","8,31","9,26","7,68","41,13M","-2,55%"
"01.07.2023","8,25","9,25","9,60","8,03","24,25M","-10,52%"
"01.06.2023","9,22","6,85","9,83","6,47","57,59M","35,99%"
"01.05.2023","6,78","7,22","8,04","6,05","94,62M","-2,81%"
"01.04.2023","6,98","7,15","7,82","6,37","32,97M","-1,32%"
"01.03.2023","7,07","6,27","7,62","5,69","62,34M","14,14%"
"01.02.2023","6,19","7,94","8,10","6,10","23,25M","-22,22%"
"01.01.2023","7,96","8,75","8,75","6,87","40,45M","-8,95%"
"01.12.2022","8,75","7,83","8,97","7,00","46,97M","9,57%"
"01.11.2022","7,98","11,46","12,22","7,64","43,84M","-29,93%"
"01.10.2022","11,39","12,06","12,48","10,19","43,44M","-1,77%"
"01.09.2022","11,60","11,03","12,60","10,27","63,77M","4,80%"
"01.08.2022","11,06","6,39","11,37","6,17","70,59M","73,18%"
"01.07.2022","6,39","5,10","6,47","4,99","38,39M","23,60%"
"01.06.2022","5,17","7,02","8,24","4,96","72,02M","-26,00%"
"01.05.2022","6,99","6,99","7,58","6,37","45,28M","0,40%"
