"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","48,00","48,86","52,12","47,42","6,20M","-1,52%"
"01.03.2024","48,74","44,06","49,67","43,28","14,86M","11,51%"
"01.02.2024","43,71","44,21","47,78","41,61","175,25M","-0,50%"
"01.01.2024","43,93","46,58","47,55","43,51","198,94M","-4,60%"
"01.12.2023","46,05","46,01","47,85","41,08","217,08M","0,26%"
"01.11.2023","45,93","48,80","49,40","44,56","205,84M","-3,71%"
"01.10.2023","47,70","47,12","51,35","43,14","212,23M","1,40%"
"01.09.2023","47,04","46,99","49,83","45,26","154,64M","1,34%"
"01.08.2023","46,42","45,27","49,06","44,10","186,79M","1,75%"
"01.07.2023","45,62","37,45","46,56","37,40","225,36M","23,03%"
"01.06.2023","37,08","34,29","38,77","32,91","271,08M","8,45%"
"01.05.2023","34,19","34,55","37,34","32,35","278,31M","-1,61%"
"01.04.2023","34,75","32,60","37,18","32,15","243,86M","11,41%"
"01.03.2023","31,19","33,27","35,33","29,01","355,63M","-7,45%"
"01.02.2023","33,70","42,23","43,17","33,70","203,95M","-19,95%"
"01.01.2023","42,10","36,88","43,79","33,10","216,73M","13,14%"
"01.12.2022","37,21","36,10","37,60","32,19","248,33M","3,22%"
"01.11.2022","36,05","36,58","39,25","32,86","294,43M","1,86%"
"01.10.2022","35,39","28,58","35,54","28,50","231,03M","28,55%"
"01.09.2022","27,53","27,25","29,77","26,80","308,84M","0,81%"
"01.08.2022","27,31","23,75","28,04","22,91","338,18M","12,76%"
"01.07.2022","24,22","22,22","24,53","20,02","349,54M","10,14%"
"01.06.2022","21,99","27,91","28,94","20,27","400,49M","-21,44%"
"01.05.2022","27,99","26,40","29,48","24,11","393,42M","4,83%"
