"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,90","12,24","13,69","11,63","420,60K","5,13%"
"01.03.2024","12,27","11,31","12,50","10,96","492,30K","8,20%"
"01.02.2024","11,34","11,85","11,85","10,61","6,24M","-4,30%"
"01.01.2024","11,85","11,69","12,19","10,80","4,03M","1,28%"
"01.12.2023","11,70","11,70","12,47","11,15","4,36M","0,95%"
"01.11.2023","11,59","10,42","11,67","10,23","4,74M","10,91%"
"01.10.2023","10,45","10,56","11,35","9,50","4,22M","-0,95%"
"01.09.2023","10,55","11,02","11,98","9,41","5,78M","-3,74%"
"01.08.2023","10,96","11,89","12,40","10,23","6,03M","-7,74%"
"01.07.2023","11,88","9,63","12,10","9,25","4,83M","24,40%"
"01.06.2023","9,55","8,50","9,79","8,42","5,51M","13,56%"
"01.05.2023","8,41","8,73","9,39","8,06","5,52M","-3,89%"
"01.04.2023","8,75","7,80","8,75","7,16","3,07M","12,47%"
"01.03.2023","7,78","7,41","8,15","6,23","4,47M","4,99%"
"01.02.2023","7,41","8,45","8,79","7,16","2,39M","-12,00%"
"01.01.2023","8,42","6,71","8,75","6,50","4,54M","25,67%"
"01.12.2022","6,70","6,26","6,98","5,64","4,08M","6,91%"
"01.11.2022","6,27","6,40","7,12","5,71","4,27M","0,93%"
"01.10.2022","6,21","5,51","6,86","5,20","4,70M","17,82%"
"01.09.2022","5,27","5,29","6,17","5,10","3,60M","-0,36%"
"01.08.2022","5,29","4,97","5,64","4,91","3,05M","6,36%"
"01.07.2022","4,97","4,98","5,92","4,80","2,67M","-0,19%"
"01.06.2022","4,98","6,53","6,61","4,81","2,59M","-22,16%"
"01.05.2022","6,40","6,00","6,99","5,51","3,33M","6,50%"
