"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","29,96","30,81","31,89","29,14","2,45M","-4,22%"
"01.03.2024","31,28","28,57","31,85","28,25","2,13M","9,52%"
"01.02.2024","28,56","26,68","29,44","25,58","42,28M","7,05%"
"01.01.2024","26,68","28,74","28,95","26,39","30,69M","-7,17%"
"01.12.2023","28,74","27,65","29,04","27,12","29,26M","2,64%"
"01.11.2023","28,00","25,21","28,26","25,07","34,73M","11,07%"
"01.10.2023","25,21","26,27","26,81","24,86","22,19M","-4,11%"
"01.09.2023","26,29","26,17","27,50","25,64","29,72M","0,73%"
"01.08.2023","26,10","28,60","28,87","26,03","45,39M","-8,84%"
"01.07.2023","28,63","28,38","29,70","28,20","45,50M","1,81%"
"01.06.2023","28,12","23,46","28,50","22,95","55,67M","20,08%"
"01.05.2023","23,42","24,58","24,79","21,68","67,20M","-4,85%"
"01.04.2023","24,61","22,87","24,89","22,15","36,00M","6,85%"
"01.03.2023","23,04","25,89","26,47","22,61","44,71M","-11,14%"
"01.02.2023","25,93","25,28","27,42","24,44","45,50M","2,20%"
"01.01.2023","25,37","23,21","25,85","21,60","36,42M","11,88%"
"01.12.2022","22,67","23,57","24,00","20,03","49,87M","-4,38%"
"01.11.2022","23,71","22,91","24,51","20,97","50,56M","4,57%"
"01.10.2022","22,68","20,88","22,72","20,58","39,37M","9,99%"
"01.09.2022","20,62","20,47","22,56","20,19","41,24M","0,09%"
"01.08.2022","20,60","17,48","21,43","17,35","57,78M","17,93%"
"01.07.2022","17,47","16,83","17,87","16,47","25,56M","3,72%"
"01.06.2022","16,84","19,68","20,25","16,69","28,97M","-14,37%"
"01.05.2022","19,67","19,23","20,00","17,11","36,86M","1,92%"
