"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,92","6,99","7,12","5,44","344,40K","-14,82%"
"01.03.2024","6,95","5,96","7,03","5,65","1,14M","16,03%"
"01.02.2024","5,99","6,22","6,34","5,60","10,80M","-3,70%"
"01.01.2024","6,22","7,46","7,48","6,11","13,19M","-16,62%"
"01.12.2023","7,46","6,83","7,76","6,76","13,13M","10,36%"
"01.11.2023","6,76","4,70","7,09","4,68","21,39M","45,06%"
"01.10.2023","4,66","5,83","5,83","4,40","22,91M","-19,93%"
"01.09.2023","5,82","6,55","6,78","5,35","20,72M","-11,01%"
"01.08.2023","6,54","8,36","8,56","6,50","34,18M","-22,05%"
"01.07.2023","8,39","7,04","8,65","6,94","28,55M","20,55%"
"01.06.2023","6,96","6,73","7,70","6,43","27,01M","3,88%"
"01.05.2023","6,70","5,70","7,14","5,49","30,04M","15,23%"
"01.04.2023","5,81","5,81","6,19","5,19","16,88M","0,17%"
"01.03.2023","5,80","6,71","7,07","5,56","20,35M","-12,63%"
"01.02.2023","6,64","7,83","7,95","6,42","12,20M","-15,56%"
"01.01.2023","7,87","7,82","7,97","6,75","17,42M","-0,85%"
"01.12.2022","7,94","7,80","8,28","7,08","28,51M","1,35%"
"01.11.2022","7,83","11,53","12,70","7,40","36,16M","-31,13%"
"01.10.2022","11,37","10,02","13,11","10,02","25,70M","14,58%"
"01.09.2022","9,92","9,59","11,12","9,33","19,40M","3,42%"
"01.08.2022","9,59","8,07","9,95","7,70","14,26M","19,76%"
"01.07.2022","8,01","5,93","8,11","5,73","14,25M","35,06%"
"01.06.2022","5,93","7,94","8,09","5,61","13,81M","-25,18%"
"01.05.2022","7,93","8,37","8,53","7,33","14,25M","-4,71%"
