"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,69","7,77","7,85","7,31","1,40K","-2,53%"
"01.03.2024","7,89","8,00","8,24","7,60","3,40K","0,25%"
"01.02.2024","7,87","8,05","8,14","7,32","220,70K","-1,63%"
"01.01.2024","8,00","8,60","8,60","8,00","137,30K","-5,88%"
"01.12.2023","8,50","8,35","8,60","8,11","214,00K","1,80%"
"01.11.2023","8,35","8,88","9,06","8,21","315,30K","-8,24%"
"01.10.2023","9,10","9,24","9,52","8,51","494,30K","-1,09%"
"01.09.2023","9,20","8,30","9,33","8,30","297,40K","10,18%"
"01.08.2023","8,35","7,34","8,40","7,13","490,80K","13,76%"
"01.07.2023","7,34","7,06","7,37","6,80","363,70K","2,95%"
"01.06.2023","7,13","6,76","7,20","6,50","212,90K","8,03%"
"01.05.2023","6,60","6,50","6,84","6,26","111,50K","1,54%"
"01.04.2023","6,50","5,48","6,63","5,26","111,20K","16,07%"
"01.03.2023","5,60","6,16","6,50","5,16","234,60K","-11,11%"
"01.02.2023","6,30","6,89","6,89","5,79","198,00K","-6,67%"
"01.01.2023","6,75","6,34","7,00","6,19","153,60K","8,00%"
"01.12.2022","6,25","6,00","6,43","5,76","400,20K","1,96%"
"01.11.2022","6,13","5,80","6,42","5,50","199,70K","4,53%"
"01.10.2022","5,86","5,88","6,07","5,60","1,96M","-1,59%"
"01.09.2022","5,96","5,65","6,22","5,59","201,30K","4,84%"
"01.08.2022","5,68","5,55","5,88","5,31","155,90K","2,74%"
"01.07.2022","5,53","5,69","5,87","5,50","125,20K","-2,83%"
"01.06.2022","5,69","5,46","6,04","4,27","670,40K","3,45%"
"01.05.2022","5,50","4,64","5,60","3,99","326,70K","18,61%"
