"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,60","2,06","2,06","1,34","4,65M","-21,57%"
"01.03.2024","2,04","2,37","2,64","2,03","4,43M","-13,56%"
"01.02.2024","2,36","2,18","2,45","1,96","126,50M","8,26%"
"01.01.2024","2,18","3,38","3,39","2,15","137,58M","-35,88%"
"01.12.2023","3,40","2,80","3,45","2,78","113,61M","21,00%"
"01.11.2023","2,81","2,90","3,33","2,72","156,81M","-2,09%"
"01.10.2023","2,87","3,06","3,44","2,65","112,22M","-6,82%"
"01.09.2023","3,08","3,52","3,63","2,72","107,26M","-11,24%"
"01.08.2023","3,47","4,30","4,50","3,46","87,15M","-19,11%"
"01.07.2023","4,29","4,84","4,95","4,26","79,50M","-11,36%"
"01.06.2023","4,84","4,39","5,29","4,39","123,32M","11,26%"
"01.05.2023","4,35","3,88","4,82","3,61","109,35M","11,43%"
"01.04.2023","3,90","3,62","4,07","3,46","93,25M","7,88%"
"01.03.2023","3,62","4,59","5,01","3,52","142,97M","-21,20%"
"01.02.2023","4,59","6,22","6,34","4,53","115,48M","-25,99%"
"01.01.2023","6,20","5,64","6,66","5,22","127,04M","7,50%"
"01.12.2022","5,77","5,92","6,76","4,78","103,05M","-4,55%"
"01.11.2022","6,05","7,81","8,36","5,49","125,16M","-21,95%"
"01.10.2022","7,75","8,21","9,06","6,71","76,66M","-3,43%"
"01.09.2022","8,02","9,44","9,74","7,82","71,08M","-15,18%"
"01.08.2022","9,46","9,72","12,04","9,36","69,10M","-2,34%"
"01.07.2022","9,69","10,96","12,57","9,00","53,35M","-11,66%"
"01.06.2022","10,96","11,10","14,45","10,56","74,89M","-0,62%"
"01.05.2022","11,03","12,74","13,08","10,13","63,57M","-13,74%"
