"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","25,58","27,55","27,58","24,46","4,98M","-6,54%"
"01.03.2024","27,37","26,68","28,41","25,32","13,58M","2,74%"
"01.02.2024","26,64","25,22","27,11","24,30","164,46M","5,30%"
"01.01.2024","25,30","29,01","29,87","25,17","146,76M","-13,95%"
"01.12.2023","29,40","27,95","30,10","27,55","80,45M","4,70%"
"01.11.2023","28,08","25,80","29,86","24,37","145,38M","8,84%"
"01.10.2023","25,80","27,55","28,35","25,14","116,86M","-6,59%"
"01.09.2023","27,62","27,57","28,28","26,51","100,11M","0,51%"
"01.08.2023","27,48","28,69","29,04","26,37","105,51M","-5,14%"
"01.07.2023","28,97","29,68","29,84","27,67","97,44M","-2,13%"
"01.06.2023","29,60","28,30","29,75","27,43","130,21M","4,48%"
"01.05.2023","28,33","25,19","29,10","24,86","110,11M","12,11%"
"01.04.2023","25,27","23,39","25,53","22,76","125,24M","7,90%"
"01.03.2023","23,42","21,79","24,04","21,16","158,11M","7,83%"
"01.02.2023","21,72","23,67","23,98","21,56","93,81M","-8,66%"
"01.01.2023","23,78","22,30","24,33","21,61","132,48M","4,67%"
"01.12.2022","22,72","21,66","23,18","20,87","155,03M","3,13%"
"01.11.2022","22,03","24,50","25,95","21,03","166,73M","-12,37%"
"01.10.2022","25,14","22,11","25,33","21,25","157,67M","16,28%"
"01.09.2022","21,62","20,74","22,37","20,70","135,86M","4,49%"
"01.08.2022","20,69","20,69","22,43","20,26","148,49M","3,71%"
"01.07.2022","19,95","17,98","20,20","17,59","117,72M","9,50%"
"01.06.2022","18,22","19,69","20,75","17,31","136,13M","-6,99%"
"01.05.2022","19,59","19,93","20,19","16,92","192,89M","-1,36%"
