"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","20,16","22,30","23,29","20,06","11,12M","-9,43%"
"01.03.2024","22,26","22,74","22,78","21,75","8,20M","-2,02%"
"01.02.2024","22,72","23,12","24,55","22,28","195,89M","-1,47%"
"01.01.2024","23,06","22,62","23,92","21,51","258,13M","0,48%"
"01.12.2023","22,95","22,92","23,59","21,56","236,94M","0,22%"
"01.11.2023","22,90","22,30","23,94","22,22","305,44M","2,64%"
"01.10.2023","22,31","22,81","23,12","21,09","280,54M","-2,23%"
"01.09.2023","22,82","22,40","24,36","21,74","314,18M","2,10%"
"01.08.2023","22,35","23,06","24,36","21,74","348,34M","-3,83%"
"01.07.2023","23,24","21,86","24,44","21,41","292,22M","4,68%"
"01.06.2023","22,20","20,83","23,37","20,61","344,01M","6,63%"
"01.05.2023","20,82","19,60","21,42","19,43","228,10M","5,69%"
"01.04.2023","19,70","18,90","19,91","18,37","177,11M","4,87%"
"01.03.2023","18,79","18,00","19,54","17,10","250,88M","4,96%"
"01.02.2023","17,90","18,27","18,61","16,87","189,85M","-2,29%"
"01.01.2023","18,32","18,25","19,18","17,05","186,69M","-1,24%"
"01.12.2022","18,55","19,06","19,48","16,15","231,24M","-4,37%"
"01.11.2022","19,39","22,26","22,26","17,94","287,56M","-12,10%"
"01.10.2022","22,06","18,89","22,22","18,01","282,47M","19,81%"
"01.09.2022","18,42","20,43","20,84","17,92","271,48M","-8,56%"
"01.08.2022","20,14","17,43","20,75","17,31","235,45M","15,22%"
"01.07.2022","17,48","15,77","17,67","15,17","154,32M","9,83%"
"01.06.2022","15,92","17,62","18,67","15,78","217,45M","-9,67%"
"01.05.2022","17,62","16,30","17,76","14,93","266,12M","8,00%"
