"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,13","10,70","11,32","9,01","31,60K","-15,31%"
"01.03.2024","10,78","10,67","11,44","10,49","26,60K","1,13%"
"01.02.2024","10,66","11,40","11,55","10,34","266,30K","-7,63%"
"01.01.2024","11,54","11,99","12,10","10,92","543,30K","-3,83%"
"01.12.2023","12,00","9,64","12,00","9,53","371,80K","20,72%"
"01.11.2023","9,94","9,46","10,12","9,29","245,20K","4,19%"
"01.10.2023","9,54","9,32","9,86","8,78","319,70K","2,36%"
"01.09.2023","9,32","9,57","10,18","9,22","224,10K","-3,12%"
"01.08.2023","9,62","9,88","10,39","9,51","419,30K","-2,53%"
"01.07.2023","9,87","9,91","10,19","9,45","410,50K","-1,30%"
"01.06.2023","10,00","9,12","10,21","9,05","374,70K","8,81%"
"01.05.2023","9,19","7,70","9,43","7,65","384,20K","19,04%"
"01.04.2023","7,72","7,19","8,00","6,62","304,40K","9,19%"
"01.03.2023","7,07","7,86","7,99","6,67","537,00K","-10,05%"
"01.02.2023","7,86","7,84","8,12","7,56","209,70K","0,00%"
"01.01.2023","7,86","8,07","8,12","7,41","222,20K","-1,63%"
"01.12.2022","7,99","8,17","8,37","7,20","213,50K","-1,77%"
"01.11.2022","8,13","8,61","8,95","7,93","170,50K","-4,64%"
"01.10.2022","8,53","8,53","9,12","8,38","228,70K","0,00%"
"01.09.2022","8,53","8,18","8,83","7,99","241,10K","4,37%"
"01.08.2022","8,17","8,57","9,37","8,16","563,80K","-2,64%"
"01.07.2022","8,39","7,65","8,59","7,40","250,20K","10,78%"
"01.06.2022","7,58","8,36","8,61","7,38","363,00K","-9,65%"
"01.05.2022","8,39","8,83","8,86","8,07","503,30K","-5,41%"
