"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,57","1,78","1,90","1,41","1,01M","-11,30%"
"01.03.2024","1,77","1,79","2,00","1,56","352,20K","0,00%"
"01.02.2024","1,77","2,17","2,30","1,61","86,93M","-17,67%"
"01.01.2024","2,15","2,43","3,71","2,10","137,88M","-10,42%"
"01.12.2023","2,40","1,65","2,63","1,57","43,09M","47,24%"
"01.11.2023","1,63","1,59","1,83","1,51","13,13M","4,49%"
"01.10.2023","1,56","1,93","2,26","1,51","59,45M","-18,75%"
"01.09.2023","1,92","2,07","2,44","1,71","26,04M","-6,80%"
"01.08.2023","2,06","2,24","2,62","1,74","34,23M","-7,62%"
"01.07.2023","2,23","3,74","3,82","2,04","38,58M","-40,37%"
"01.06.2023","3,74","3,46","4,04","3,22","32,54M","9,36%"
"01.05.2023","3,42","3,32","4,12","2,22","32,24M","-48,34%"
"01.04.2023","6,62","8,28","11,06","6,62","16,50M","-21,19%"
"01.03.2023","8,40","4,34","8,68","3,78","9,84M","94,44%"
"01.02.2023","4,32","3,18","4,40","2,60","4,76M","37,58%"
"01.01.2023","3,14","3,28","4,00","2,72","5,77M","-7,65%"
"01.12.2022","3,40","1,57","3,70","1,48","3,88M","116,56%"
"01.11.2022","1,57","1,71","1,77","1,49","2,72M","-6,55%"
"01.10.2022","1,68","2,25","2,40","1,62","7,43M","-23,29%"
"01.09.2022","2,19","2,30","2,51","2,06","9,41M","-3,52%"
"01.08.2022","2,27","2,58","3,12","2,22","16,28M","-12,02%"
"01.07.2022","2,58","2,46","3,28","2,26","12,90M","5,31%"
"01.06.2022","2,45","4,96","5,23","2,26","14,51M","-49,80%"
"01.05.2022","4,88","5,00","5,39","4,21","18,31M","-2,40%"
