"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","26,00","25,31","27,02","23,02","123,05M","2,73%"
"01.03.2024","25,31","25,25","27,22","23,90","102,03M","-0,04%"
"01.02.2024","25,32","26,81","28,20","24,28","85,13M","-6,74%"
"01.01.2024","27,15","28,11","29,18","26,14","76,47M","-5,60%"
"01.12.2023","28,76","26,30","29,19","25,16","94,26M","8,12%"
"01.11.2023","26,60","21,65","26,97","21,65","115,25M","23,03%"
"01.10.2023","21,62","25,07","25,47","21,39","176,57M","-14,92%"
"01.09.2023","25,41","28,70","30,18","24,46","124,40M","-11,34%"
"01.08.2023","28,66","35,64","35,89","28,50","134,10M","-20,39%"
"01.07.2023","36,00","32,92","37,57","30,33","98,72M","9,36%"
"01.06.2023","32,92","28,85","34,09","28,70","114,85M","13,52%"
"01.05.2023","29,00","22,87","30,07","21,59","106,37M","26,80%"
"01.04.2023","22,87","21,33","24,79","20,70","127,98M","7,67%"
"01.03.2023","21,24","25,74","25,74","19,35","190,15M","-16,87%"
"01.02.2023","25,55","31,95","32,59","25,48","84,68M","-19,91%"
"01.01.2023","31,90","29,21","32,18","25,33","112,82M","7,84%"
"01.12.2022","29,58","30,62","32,54","23,32","132,60M","-4,76%"
"01.11.2022","31,06","31,50","34,55","27,72","131,21M","-3,45%"
"01.10.2022","32,17","30,30","32,98","27,82","123,16M","8,24%"
"01.09.2022","29,72","33,29","35,98","28,21","96,48M","-10,83%"
"01.08.2022","33,33","32,51","39,00","31,87","107,97M","2,90%"
"01.07.2022","32,39","28,45","32,72","25,75","95,04M","11,77%"
"01.06.2022","28,98","35,82","37,27","28,03","84,57M","-19,10%"
"01.05.2022","35,82","36,14","37,99","31,22","101,45M","-2,48%"
