"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","49,03","54,82","55,65","48,22","7,62M","-10,33%"
"01.03.2024","54,68","53,01","55,17","50,69","5,88M","3,17%"
"01.02.2024","53,00","54,36","54,78","51,32","130,60M","-2,07%"
"01.01.2024","54,12","63,33","63,51","53,85","147,04M","-14,91%"
"01.12.2023","63,60","59,94","65,64","58,84","115,37M","5,93%"
"01.11.2023","60,04","51,33","61,48","50,80","153,16M","18,03%"
"01.10.2023","50,87","58,24","58,26","50,02","151,91M","-13,13%"
"01.09.2023","58,56","63,22","63,99","54,92","127,12M","-7,42%"
"01.08.2023","63,25","66,70","68,37","61,90","129,49M","-5,91%"
"01.07.2023","67,22","68,74","71,41","65,81","108,20M","-1,87%"
"01.06.2023","68,50","62,76","70,02","62,50","195,45M","10,41%"
"01.05.2023","62,04","57,43","66,32","55,51","175,49M","6,95%"
"01.04.2023","58,01","53,21","60,18","51,70","133,23M","8,63%"
"01.03.2023","53,40","54,96","57,19","47,22","203,29M","-3,00%"
"01.02.2023","55,05","58,61","60,41","53,92","107,33M","-6,28%"
"01.01.2023","58,74","51,59","59,40","49,24","143,11M","11,30%"
"01.12.2022","52,78","57,76","59,38","47,59","209,90M","-10,79%"
"01.11.2022","59,16","69,05","73,05","56,18","197,53M","-14,80%"
"01.10.2022","69,44","63,14","69,66","61,98","135,12M","15,47%"
"01.09.2022","60,13","59,30","64,53","57,43","134,22M","1,09%"
"01.08.2022","59,49","56,14","63,28","55,56","155,01M","5,57%"
"01.07.2022","56,35","51,01","57,18","49,79","142,25M","10,29%"
"01.06.2022","51,09","56,50","57,04","47,30","165,39M","-8,88%"
"01.05.2022","56,07","51,56","57,59","49,68","150,15M","9,22%"
