"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,07","1,17","1,20","1,01","15,70K","-9,32%"
"01.03.2024","1,18","1,31","1,33","1,11","94,40K","-9,92%"
"01.02.2024","1,31","1,33","1,46","1,24","1,65M","-1,50%"
"01.01.2024","1,33","1,25","1,52","1,21","3,42M","7,26%"
"01.12.2023","1,24","1,13","1,38","1,07","3,38M","11,71%"
"01.11.2023","1,11","1,03","1,25","1,00","2,21M","9,90%"
"01.10.2023","1,01","1,21","1,30","1,00","1,64M","-16,53%"
"01.09.2023","1,21","1,39","1,40","1,05","2,34M","-11,03%"
"01.08.2023","1,36","1,54","1,70","1,33","4,31M","-11,11%"
"01.07.2023","1,53","1,67","1,85","1,50","3,80M","-7,83%"
"01.06.2023","1,66","1,49","1,85","1,47","4,30M","12,16%"
"01.05.2023","1,48","1,61","1,76","1,43","1,74M","-8,64%"
"01.04.2023","1,62","1,71","1,80","1,47","919,90K","-3,57%"
"01.03.2023","1,68","2,11","2,11","1,37","1,44M","-18,84%"
"01.02.2023","2,07","2,25","2,31","1,98","373,70K","-8,00%"
"01.01.2023","2,25","1,95","2,28","1,86","638,80K","10,84%"
"01.12.2022","2,03","1,94","2,33","1,77","614,70K","3,05%"
"01.11.2022","1,97","2,50","2,62","1,86","605,40K","-21,83%"
"01.10.2022","2,52","2,50","2,69","2,26","501,50K","5,00%"
"01.09.2022","2,40","2,04","2,55","1,97","1,23M","20,00%"
"01.08.2022","2,00","2,67","2,99","1,90","1,28M","-24,53%"
"01.07.2022","2,65","1,79","2,76","1,75","2,15M","48,88%"
"01.06.2022","1,78","1,85","2,15","1,62","1,44M","-2,20%"
"01.05.2022","1,82","1,76","2,30","1,60","1,26M","5,81%"
