"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","33,17","33,00","36,70","32,25","122,09M","0,55%"
"01.03.2024","32,99","28,11","33,00","26,84","95,82M","18,03%"
"01.02.2024","27,95","27,80","29,92","26,32","93,97M","2,08%"
"01.01.2024","27,38","26,50","31,90","25,61","140,68M","4,19%"
"01.12.2023","26,28","29,91","29,98","25,98","131,67M","-12,34%"
"01.11.2023","29,98","32,65","34,38","29,70","107,81M","-7,58%"
"01.10.2023","32,44","31,70","33,66","27,90","119,30M","2,72%"
"01.09.2023","31,58","33,41","33,75","30,53","94,84M","-4,07%"
"01.08.2023","32,92","35,50","38,98","30,86","122,18M","-7,40%"
"01.07.2023","35,55","30,15","37,02","29,87","106,73M","19,10%"
"01.06.2023","29,85","30,46","35,14","29,26","120,76M","-1,52%"
"01.05.2023","30,31","31,50","35,50","28,84","161,87M","-4,29%"
"01.04.2023","31,67","30,22","33,05","25,94","194,00M","7,47%"
"01.03.2023","29,47","36,30","36,41","26,36","225,75M","-19,06%"
"01.02.2023","36,41","44,87","45,24","36,41","69,72M","-18,78%"
"01.01.2023","44,83","37,24","50,19","33,22","113,35M","18,75%"
"01.12.2022","37,75","36,99","38,50","31,45","87,17M","2,05%"
"01.11.2022","36,99","47,60","51,58","34,04","97,68M","-20,45%"
"01.10.2022","46,50","37,50","46,70","36,73","86,60M","30,58%"
"01.09.2022","35,61","37,06","40,12","34,22","89,13M","-4,76%"
"01.08.2022","37,39","33,01","39,16","32,00","84,27M","9,91%"
"01.07.2022","34,02","35,26","36,82","26,86","104,95M","-3,21%"
"01.06.2022","35,15","48,60","49,92","32,49","79,29M","-27,90%"
"01.05.2022","48,75","46,00","51,23","39,55","80,84M","5,45%"
