"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,33","3,94","5,40","3,53","27,30K","33,25%"
"01.03.2024","4,00","3,78","4,15","3,41","9,00K","6,10%"
"01.02.2024","3,77","3,75","4,05","3,52","1,32M","0,27%"
"01.01.2024","3,76","3,98","4,18","3,37","1,42M","-6,47%"
"01.12.2023","4,02","4,08","4,44","3,81","1,19M","-0,74%"
"01.11.2023","4,05","3,86","4,70","3,75","1,59M","5,47%"
"01.10.2023","3,84","3,93","4,38","3,61","1,12M","-1,03%"
"01.09.2023","3,88","4,11","4,11","3,52","701,90K","-4,20%"
"01.08.2023","4,05","4,97","5,14","4,03","887,10K","-19,64%"
"01.07.2023","5,04","4,89","5,16","4,40","887,40K","1,82%"
"01.06.2023","4,95","3,17","5,60","3,15","1,90M","58,15%"
"01.05.2023","3,13","3,08","3,54","2,85","1,46M","1,62%"
"01.04.2023","3,08","2,89","3,15","2,57","1,02M","6,21%"
"01.03.2023","2,90","2,98","3,25","2,81","1,14M","-2,36%"
"01.02.2023","2,97","3,00","3,19","2,77","873,40K","-1,00%"
"01.01.2023","3,00","2,79","3,38","2,65","927,90K","5,63%"
"01.12.2022","2,84","2,31","2,92","2,30","518,10K","20,85%"
"01.11.2022","2,35","2,96","3,50","2,24","2,22M","-20,34%"
"01.10.2022","2,95","2,83","3,17","2,74","1,24M","5,73%"
"01.09.2022","2,79","3,12","3,41","2,50","2,36M","-9,12%"
"01.08.2022","3,07","2,95","3,97","2,92","3,90M","0,99%"
"01.07.2022","3,04","2,38","3,09","2,11","2,35M","28,81%"
"01.06.2022","2,36","2,46","2,51","1,78","5,44M","-4,07%"
"01.05.2022","2,46","5,22","5,34","2,30","6,40M","-54,19%"
