"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,95","5,04","5,06","4,69","143,10K","-1,79%"
"01.03.2024","5,04","5,00","5,14","4,89","414,90K","0,00%"
"01.02.2024","5,04","5,33","5,40","4,94","5,29M","-5,44%"
"01.01.2024","5,33","5,55","5,63","5,15","6,30M","-4,99%"
"01.12.2023","5,61","5,13","5,63","5,07","5,64M","9,14%"
"01.11.2023","5,14","4,24","5,14","4,20","6,64M","20,37%"
"01.10.2023","4,27","4,41","4,75","4,25","6,41M","-3,39%"
"01.09.2023","4,42","4,30","4,57","4,27","4,59M","3,51%"
"01.08.2023","4,27","4,07","4,47","3,99","6,73M","4,91%"
"01.07.2023","4,07","4,15","4,15","3,95","4,37M","-4,46%"
"01.06.2023","4,26","3,99","4,28","3,89","6,70M","6,77%"
"01.05.2023","3,99","3,69","4,12","3,60","6,81M","8,13%"
"01.04.2023","3,69","3,49","3,85","3,45","6,24M","4,24%"
"01.03.2023","3,54","3,28","3,55","3,22","6,94M","8,26%"
"01.02.2023","3,27","3,29","3,37","3,22","5,47M","-0,61%"
"01.01.2023","3,29","3,32","3,40","3,16","6,09M","-0,22%"
"01.12.2022","3,30","3,40","3,44","2,91","8,11M","-3,07%"
"01.11.2022","3,40","3,37","3,61","3,01","12,63M","1,42%"
"01.10.2022","3,35","3,16","3,38","3,14","12,39M","6,33%"
"01.09.2022","3,15","3,16","3,27","3,07","12,24M","-0,30%"
"01.08.2022","3,16","3,35","3,55","3,15","12,01M","-5,40%"
"01.07.2022","3,34","3,43","3,44","3,22","5,30M","-0,69%"
"01.06.2022","3,37","3,60","3,74","3,29","5,09M","-6,43%"
"01.05.2022","3,60","3,58","3,73","3,43","4,87M","0,26%"
