"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,12","13,00","14,29","10,90","1,03M","-14,13%"
"01.03.2024","12,95","12,31","14,20","11,81","7,24M","5,20%"
"01.02.2024","12,31","13,22","13,77","11,20","46,33M","-6,81%"
"01.01.2024","13,21","11,73","13,64","10,41","42,58M","12,62%"
"01.12.2023","11,73","10,94","12,48","10,86","38,52M","7,22%"
"01.11.2023","10,94","6,99","11,10","6,93","76,47M","56,29%"
"01.10.2023","7,00","6,78","7,95","6,41","53,90M","2,64%"
"01.09.2023","6,82","7,20","8,06","6,28","60,47M","-4,62%"
"01.08.2023","7,15","13,16","13,67","7,06","122,34M","-45,87%"
"01.07.2023","13,21","13,36","14,05","12,09","47,17M","-0,60%"
"01.06.2023","13,29","10,64","14,84","10,18","67,17M","26,57%"
"01.05.2023","10,50","7,54","10,50","7,10","55,53M","39,18%"
"01.04.2023","7,54","8,14","8,90","6,82","38,92M","-7,47%"
"01.03.2023","8,15","8,10","9,33","7,37","51,86M","1,22%"
"01.02.2023","8,05","10,83","11,01","7,86","47,50M","-25,99%"
"01.01.2023","10,88","12,55","12,55","10,08","50,88M","-13,30%"
"01.12.2022","12,55","14,28","14,35","10,47","42,47M","-12,41%"
"01.11.2022","14,33","18,61","20,77","13,73","44,33M","-22,97%"
"01.10.2022","18,61","20,24","21,87","16,90","35,76M","-5,82%"
"01.09.2022","19,75","21,47","23,70","18,86","28,78M","-8,22%"
"01.08.2022","21,52","20,45","23,97","19,08","46,00M","5,29%"
"01.07.2022","20,44","18,69","21,01","17,34","21,34M","9,93%"
"01.06.2022","18,60","23,50","25,55","18,33","29,33M","-21,29%"
"01.05.2022","23,62","23,23","24,27","21,14","24,53M","0,16%"
