"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","80,82","84,70","85,60","79,45","3,00M","-4,58%"
"01.03.2024","84,70","79,17","85,63","75,78","2,40M","7,00%"
"01.02.2024","79,16","79,01","83,70","77,42","55,33M","0,38%"
"01.01.2024","78,86","75,35","80,25","71,86","54,40M","4,63%"
"01.12.2023","75,37","67,90","75,62","66,95","51,41M","11,56%"
"01.11.2023","67,56","58,59","69,10","58,41","47,96M","15,74%"
"01.10.2023","58,37","61,09","63,17","58,10","65,53M","-4,36%"
"01.09.2023","61,03","58,06","62,55","57,15","51,81M","5,37%"
"01.08.2023","57,92","58,07","60,44","52,10","72,22M","-0,31%"
"01.07.2023","58,10","56,35","58,13","53,30","52,97M","2,70%"
"01.06.2023","56,57","52,70","57,70","51,17","52,14M","7,65%"
"01.05.2023","52,55","45,01","53,91","43,78","71,37M","17,16%"
"01.04.2023","44,85","49,44","50,63","44,07","71,04M","-8,85%"
"01.03.2023","49,21","51,51","52,56","43,76","71,08M","-2,20%"
"01.02.2023","50,32","53,84","55,05","49,97","61,46M","-7,02%"
"01.01.2023","54,12","54,79","55,00","50,51","68,73M","-2,62%"
"01.12.2022","55,58","58,23","59,98","51,20","90,87M","-5,19%"
"01.11.2022","58,62","58,54","59,98","51,96","90,97M","0,32%"
"01.10.2022","58,44","55,62","59,98","52,80","138,18M","21,17%"
"01.09.2022","48,23","48,24","52,45","42,01","120,86M","0,92%"
"01.08.2022","47,79","43,27","48,19","41,76","67,99M","10,03%"
"01.07.2022","43,43","41,03","43,64","39,53","44,67M","5,93%"
"01.06.2022","41,00","44,52","45,31","38,81","63,56M","-7,89%"
"01.05.2022","44,51","43,47","47,32","42,15","93,76M","2,81%"
