"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","27,74","27,10","27,78","23,66","12,50K","1,02%"
"01.03.2024","27,46","26,23","27,90","25,10","1,50K","3,35%"
"01.02.2024","26,57","28,40","28,47","24,80","360,70K","-7,23%"
"01.01.2024","28,64","27,98","28,65","25,63","262,70K","4,15%"
"01.12.2023","27,50","23,35","29,00","22,00","522,90K","15,06%"
"01.11.2023","23,90","24,55","24,55","20,82","394,30K","-3,94%"
"01.10.2023","24,88","25,85","25,86","22,79","129,90K","-5,04%"
"01.09.2023","26,20","23,22","27,50","23,22","160,90K","15,52%"
"01.08.2023","22,68","25,89","27,65","22,31","141,50K","-11,41%"
"01.07.2023","25,60","21,50","25,87","19,00","111,10K","19,35%"
"01.06.2023","21,45","19,26","21,45","19,26","94,90K","9,77%"
"01.05.2023","19,54","16,10","21,00","15,85","379,50K","19,22%"
"01.04.2023","16,39","14,80","17,70","14,79","131,90K","10,22%"
"01.03.2023","14,87","12,10","16,80","11,82","959,00K","23,92%"
"01.02.2023","12,00","15,00","15,39","11,82","301,20K","-21,52%"
"01.01.2023","15,29","18,07","18,50","14,50","170,50K","-15,76%"
"01.12.2022","18,15","24,55","25,50","16,21","349,80K","-29,38%"
"01.11.2022","25,70","27,60","28,01","22,70","88,80K","-6,55%"
"01.10.2022","27,50","25,34","27,59","23,70","62,20K","11,07%"
"01.09.2022","24,76","26,00","26,00","23,91","56,20K","-4,77%"
"01.08.2022","26,00","25,16","29,00","25,00","48,20K","2,48%"
"01.07.2022","25,37","28,12","29,44","23,70","81,30K","-12,43%"
"01.06.2022","28,97","33,01","33,01","25,01","76,80K","-13,50%"
"01.05.2022","33,49","36,11","36,55","30,51","103,30K","-8,63%"
