"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,52","6,67","7,42","5,12","475,70K","-17,98%"
"01.03.2024","6,73","6,30","7,25","6,06","250,70K","6,83%"
"01.02.2024","6,30","6,34","6,58","5,51","17,08M","-0,79%"
"01.01.2024","6,35","7,86","7,86","6,09","20,43M","-19,21%"
"01.12.2023","7,86","6,28","8,75","6,12","24,38M","26,16%"
"01.11.2023","6,23","6,18","6,73","5,76","30,46M","0,81%"
"01.10.2023","6,18","6,14","6,90","5,69","23,15M","-0,16%"
"01.09.2023","6,19","6,52","7,04","5,60","29,88M","0,16%"
"01.08.2023","6,18","5,79","7,06","5,47","43,16M","7,67%"
"01.07.2023","5,74","5,00","6,24","4,86","30,24M","14,80%"
"01.06.2023","5,00","3,91","5,29","3,84","21,89M","30,21%"
"01.05.2023","3,84","3,23","4,12","3,00","21,95M","18,89%"
"01.04.2023","3,23","3,24","3,29","2,81","9,95M","-0,62%"
"01.03.2023","3,25","3,75","4,18","2,97","17,64M","-13,10%"
"01.02.2023","3,74","4,77","4,79","3,57","12,75M","-21,76%"
"01.01.2023","4,78","4,40","4,78","3,87","19,70M","6,94%"
"01.12.2022","4,47","5,44","5,52","4,23","16,69M","-19,02%"
"01.11.2022","5,52","8,58","9,05","5,00","18,39M","-35,14%"
"01.10.2022","8,51","7,54","8,91","6,64","15,83M","11,53%"
"01.09.2022","7,63","6,22","7,70","5,50","20,95M","22,08%"
"01.08.2022","6,25","5,85","6,78","5,84","15,03M","6,11%"
"01.07.2022","5,89","6,30","7,14","5,52","9,58M","-6,21%"
"01.06.2022","6,28","8,05","8,20","6,19","7,77M","-21,50%"
"01.05.2022","8,00","9,33","9,36","7,74","9,60M","-14,53%"
