"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,53","2,99","2,99","2,34","150,90K","-12,76%"
"01.03.2024","2,90","2,00","2,93","1,96","250,20K","45,73%"
"01.02.2024","1,99","2,06","2,11","1,97","3,78M","-2,93%"
"01.01.2024","2,05","2,10","2,15","1,95","3,63M","-2,84%"
"01.12.2023","2,11","2,11","2,25","2,03","4,27M","1,44%"
"01.11.2023","2,08","2,12","2,66","2,02","8,76M","-1,89%"
"01.10.2023","2,12","2,57","2,62","2,10","2,07M","-18,77%"
"01.09.2023","2,61","2,74","2,82","2,19","3,61M","-6,12%"
"01.08.2023","2,78","3,14","3,28","2,53","3,44M","-10,61%"
"01.07.2023","3,11","2,96","3,31","2,66","5,09M","5,42%"
"01.06.2023","2,95","2,16","3,20","2,13","10,06M","35,94%"
"01.05.2023","2,17","1,46","2,19","1,34","9,37M","49,66%"
"01.04.2023","1,45","1,69","1,71","1,36","5,29M","-14,71%"
"01.03.2023","1,70","2,48","2,63","1,62","7,13M","-32,54%"
"01.02.2023","2,52","2,59","2,65","2,28","3,26M","-3,08%"
"01.01.2023","2,60","2,35","2,68","2,13","4,78M","8,79%"
"01.12.2022","2,39","2,56","2,66","2,00","10,41M","-6,64%"
"01.11.2022","2,56","2,94","3,24","2,33","6,68M","-11,72%"
"01.10.2022","2,90","3,10","3,28","2,73","6,51M","-5,23%"
"01.09.2022","3,06","3,78","3,81","2,77","4,33M","-20,10%"
"01.08.2022","3,83","2,57","3,90","2,53","6,91M","47,88%"
"01.07.2022","2,59","3,00","3,00","2,40","5,05M","-13,09%"
"01.06.2022","2,98","4,03","4,03","2,75","5,17M","-25,69%"
"01.05.2022","4,01","3,71","4,24","3,06","6,73M","7,80%"
