"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,16","6,72","7,02","5,89","628,90K","-8,33%"
"01.03.2024","6,72","7,06","7,17","6,56","380,10K","-4,41%"
"01.02.2024","7,03","6,51","7,12","6,25","8,49M","7,99%"
"01.01.2024","6,51","7,04","7,13","6,51","6,84M","-7,66%"
"01.12.2023","7,05","7,01","7,14","6,48","7,65M","0,43%"
"01.11.2023","7,02","7,41","7,50","6,83","11,23M","-4,36%"
"01.10.2023","7,34","7,54","8,15","7,28","8,86M","-2,78%"
"01.09.2023","7,55","7,44","7,85","7,12","7,57M","1,48%"
"01.08.2023","7,44","6,71","7,77","6,65","9,28M","10,71%"
"01.07.2023","6,72","6,34","6,80","5,87","5,14M","5,33%"
"01.06.2023","6,38","5,81","6,38","5,71","6,90M","9,81%"
"01.05.2023","5,81","4,41","6,01","4,27","10,74M","33,56%"
"01.04.2023","4,35","4,39","4,44","4,06","6,64M","0,28%"
"01.03.2023","4,34","4,42","4,80","4,03","10,09M","-2,64%"
"01.02.2023","4,46","4,70","4,73","4,15","7,87M","-5,25%"
"01.01.2023","4,70","4,54","4,84","4,33","9,26M","3,40%"
"01.12.2022","4,55","4,47","5,01","4,04","10,41M","0,81%"
"01.11.2022","4,51","4,63","4,83","4,00","11,05M","-3,27%"
"01.10.2022","4,66","4,43","4,67","4,27","5,36M","6,75%"
"01.09.2022","4,37","4,50","4,68","4,10","4,79M","-4,62%"
"01.08.2022","4,58","4,02","4,72","3,80","5,85M","12,18%"
"01.07.2022","4,08","4,02","4,21","3,80","3,69M","1,16%"
"01.06.2022","4,04","4,29","4,49","3,73","6,35M","-5,86%"
"01.05.2022","4,29","4,28","4,43","3,78","6,20M","1,10%"
