"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","19,09","19,76","20,20","17,95","3,13M","-3,49%"
"01.03.2024","19,78","19,66","20,53","18,01","1,85M","0,61%"
"01.02.2024","19,66","19,10","20,10","18,32","50,88M","2,93%"
"01.01.2024","19,10","18,85","19,95","17,36","59,13M","1,49%"
"01.12.2023","18,82","18,79","19,88","18,10","71,86M","-0,11%"
"01.11.2023","18,84","18,46","20,00","17,96","78,40M","2,50%"
"01.10.2023","18,38","19,59","19,60","17,60","47,93M","-6,70%"
"01.09.2023","19,70","20,36","20,50","19,00","50,64M","-2,04%"
"01.08.2023","20,11","21,75","22,73","19,17","71,81M","-7,84%"
"01.07.2023","21,82","19,18","22,52","19,11","71,36M","14,18%"
"01.06.2023","19,11","17,45","19,57","17,10","88,83M","10,65%"
"01.05.2023","17,27","18,73","19,36","17,09","88,36M","-7,05%"
"01.04.2023","18,58","19,47","20,11","17,91","38,72M","-4,62%"
"01.03.2023","19,48","21,06","21,36","18,98","75,84M","-7,46%"
"01.02.2023","21,05","21,79","22,68","20,70","56,99M","-3,97%"
"01.01.2023","21,92","19,63","22,25","18,61","63,22M","9,38%"
"01.12.2022","20,04","18,96","20,23","17,78","49,27M","5,31%"
"01.11.2022","19,03","19,27","20,89","18,03","66,15M","-2,31%"
"01.10.2022","19,48","18,69","19,67","17,76","59,36M","6,10%"
"01.09.2022","18,36","20,59","21,61","18,02","71,43M","-10,92%"
"01.08.2022","20,61","18,64","20,97","17,62","84,86M","10,21%"
"01.07.2022","18,70","18,45","19,63","16,46","74,80M","-0,05%"
"01.06.2022","18,71","23,25","24,49","18,67","74,67M","-19,56%"
"01.05.2022","23,26","21,71","24,00","20,86","91,84M","8,64%"
