"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","28,59","31,00","32,07","27,31","2,62M","-7,86%"
"01.03.2024","31,03","28,19","31,12","26,32","1,25M","9,65%"
"01.02.2024","28,30","28,20","28,91","25,43","48,72M","0,39%"
"01.01.2024","28,19","29,31","29,50","26,32","41,69M","-3,82%"
"01.12.2023","29,31","33,31","33,70","27,97","41,38M","-11,50%"
"01.11.2023","33,12","35,75","36,82","32,28","35,46M","-6,57%"
"01.10.2023","35,45","39,28","39,70","34,95","27,33M","-9,70%"
"01.09.2023","39,26","36,49","41,26","36,49","37,09M","8,66%"
"01.08.2023","36,13","33,47","38,28","31,58","43,28M","7,95%"
"01.07.2023","33,47","33,06","34,15","31,46","27,99M","-1,99%"
"01.06.2023","34,15","35,80","38,11","34,11","42,13M","-4,41%"
"01.05.2023","35,72","31,01","36,60","29,78","50,27M","15,19%"
"01.04.2023","31,01","27,26","31,69","26,49","42,26M","16,21%"
"01.03.2023","26,69","26,91","28,62","23,02","52,60M","-0,66%"
"01.02.2023","26,86","24,88","28,77","24,70","57,67M","8,76%"
"01.01.2023","24,70","25,50","25,50","21,12","53,95M","-5,69%"
"01.12.2022","26,19","27,54","27,89","22,09","45,71M","-5,87%"
"01.11.2022","27,83","26,94","28,83","23,89","41,76M","6,27%"
"01.10.2022","26,19","25,28","27,37","24,18","34,73M","5,68%"
"01.09.2022","24,78","30,69","30,97","24,05","40,90M","-19,90%"
"01.08.2022","30,93","33,87","35,18","30,72","26,49M","-8,01%"
"01.07.2022","33,63","34,88","35,65","31,99","24,98M","-3,58%"
"01.06.2022","34,87","47,70","50,34","34,52","42,79M","-27,28%"
"01.05.2022","47,95","44,45","48,97","41,05","35,41M","8,58%"
