"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,28","6,40","6,60","6,11","0,50K","-4,27%"
"01.03.2024","6,56","5,21","6,85","4,62","38,80K","26,89%"
"01.02.2024","5,17","4,26","5,27","4,25","148,60K","17,77%"
"01.01.2024","4,39","3,69","6,24","3,50","1,05M","14,62%"
"01.12.2023","3,83","3,96","4,08","3,62","258,90K","0,26%"
"01.11.2023","3,82","3,89","4,19","3,61","203,00K","-7,73%"
"01.10.2023","4,14","4,02","4,43","3,58","192,70K","3,76%"
"01.09.2023","3,99","3,93","4,44","3,60","89,10K","2,84%"
"01.08.2023","3,88","4,58","4,73","3,81","223,70K","-13,59%"
"01.07.2023","4,49","3,08","5,42","3,05","368,80K","47,21%"
"01.06.2023","3,05","3,30","4,16","2,90","485,10K","-2,56%"
"01.05.2023","3,13","2,57","3,97","2,38","97,00K","28,28%"
"01.04.2023","2,44","2,74","2,98","2,44","66,60K","-10,95%"
"01.03.2023","2,74","2,82","3,00","2,52","26,30K","-7,12%"
"01.02.2023","2,95","3,01","3,01","2,80","2,20K","0,00%"
"01.01.2023","2,95","3,55","3,55","2,57","19,90K","-12,20%"
"01.12.2022","3,36","3,30","3,60","2,76","19,70K","5,33%"
"01.11.2022","3,19","3,00","3,39","2,35","74,90K","2,90%"
"01.10.2022","3,10","2,90","3,28","2,66","72,10K","12,32%"
"01.09.2022","2,76","3,49","3,74","2,55","244,90K","-19,06%"
"01.08.2022","3,41","2,92","4,89","2,85","236,00K","15,59%"
"01.07.2022","2,95","2,86","3,38","2,80","100,90K","0,00%"
"01.06.2022","2,95","3,15","3,25","2,80","28,80K","-4,53%"
"01.05.2022","3,09","3,49","3,73","2,82","93,80K","-17,38%"
