"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","18,19","18,14","18,79","16,31","12,65M","-0,60%"
"01.03.2024","18,30","15,30","18,67","14,43","9,44M","19,61%"
"01.02.2024","15,30","15,12","16,00","14,64","5,79M","3,03%"
"01.01.2024","14,85","16,00","16,59","14,75","4,08M","-8,50%"
"01.12.2023","16,23","14,56","16,45","13,43","4,79M","2,72%"
"01.11.2023","15,80","12,46","15,80","12,36","5,52M","25,10%"
"01.10.2023","12,63","13,14","13,75","11,89","7,54M","-4,89%"
"01.09.2023","13,28","14,52","14,95","12,70","4,58M","-9,35%"
"01.08.2023","14,65","11,65","15,19","11,31","7,76M","26,08%"
"01.07.2023","11,62","10,83","12,00","10,75","5,34M","7,49%"
"01.06.2023","10,81","11,10","11,10","10,29","6,39M","-0,37%"
"01.05.2023","10,85","10,96","12,33","10,68","5,24M","-1,00%"
"01.04.2023","10,96","11,99","12,09","10,78","4,54M","-8,21%"
"01.03.2023","11,94","12,00","13,38","10,87","4,45M","-0,50%"
"01.02.2023","12,00","11,30","12,70","11,12","4,52M","6,19%"
"01.01.2023","11,30","10,41","11,91","9,64","3,17M","8,65%"
"01.12.2022","10,40","10,43","11,00","9,13","3,97M","0,29%"
"01.11.2022","10,37","12,73","13,59","9,84","6,25M","-18,67%"
"01.10.2022","12,75","12,47","13,45","12,20","4,26M","4,00%"
"01.09.2022","12,26","12,55","13,70","11,94","6,29M","-1,92%"
"01.08.2022","12,50","10,98","13,10","10,67","5,50M","16,50%"
"01.07.2022","10,73","10,62","11,26","10,05","3,26M","2,09%"
"01.06.2022","10,51","13,72","13,72","10,47","4,93M","-23,00%"
"01.05.2022","13,65","13,10","13,73","12,47","7,63M","4,68%"
