"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,07","7,61","7,63","5,91","20,57M","-20,24%"
"01.03.2024","7,61","7,03","7,71","6,72","18,42M","8,71%"
"01.02.2024","7,00","7,96","8,36","6,81","295,67M","-11,62%"
"01.01.2024","7,92","7,44","8,21","6,61","348,89M","6,31%"
"01.12.2023","7,45","5,98","7,60","5,91","323,26M","24,79%"
"01.11.2023","5,97","5,31","6,98","5,28","382,60M","12,85%"
"01.10.2023","5,29","6,67","6,67","4,94","291,37M","-20,45%"
"01.09.2023","6,65","7,59","8,25","6,16","301,75M","-11,21%"
"01.08.2023","7,49","11,19","11,80","7,39","315,94M","-33,36%"
"01.07.2023","11,24","12,11","12,37","10,35","182,86M","-6,33%"
"01.06.2023","12,00","10,41","12,50","10,08","230,42M","15,94%"
"01.05.2023","10,35","8,26","10,58","7,89","290,75M","24,72%"
"01.04.2023","8,30","7,93","8,67","7,02","205,17M","3,58%"
"01.03.2023","8,01","8,74","9,30","7,73","208,35M","-7,63%"
"01.02.2023","8,67","10,34","10,97","8,29","166,60M","-16,38%"
"01.01.2023","10,37","9,53","10,49","8,77","138,21M","3,55%"
"01.12.2022","10,02","11,05","11,25","8,75","158,51M","-12,06%"
"01.11.2022","11,39","14,62","15,17","10,50","173,59M","-20,81%"
"01.10.2022","14,38","13,83","14,83","12,58","108,56M","9,31%"
"01.09.2022","13,16","13,48","13,98","12,20","126,46M","-1,55%"
"01.08.2022","13,37","10,00","13,82","9,93","153,98M","33,04%"
"01.07.2022","10,05","9,01","10,35","8,67","82,83M","10,54%"
"01.06.2022","9,09","11,32","11,71","8,87","118,94M","-18,87%"
"01.05.2022","11,20","11,81","12,33","10,25","126,93M","-5,42%"
