"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","8,22","9,40","9,69","8,13","1,26M","-12,65%"
"01.03.2024","9,41","9,40","9,96","8,25","1,59M","0,53%"
"01.02.2024","9,36","9,76","10,35","9,00","18,96M","-3,01%"
"01.01.2024","9,65","10,21","10,64","9,05","17,68M","-5,48%"
"01.12.2023","10,21","9,51","10,29","8,57","23,58M","7,70%"
"01.11.2023","9,48","7,67","9,86","7,45","28,35M","24,74%"
"01.10.2023","7,60","9,83","9,83","7,52","21,30M","-22,61%"
"01.09.2023","9,82","10,01","11,39","9,48","15,01M","-1,90%"
"01.08.2023","10,01","11,64","11,76","9,88","17,79M","-14,52%"
"01.07.2023","11,71","11,31","11,84","10,35","15,41M","3,63%"
"01.06.2023","11,30","9,90","11,53","9,55","26,00M","14,72%"
"01.05.2023","9,85","9,25","10,06","8,33","26,91M","6,60%"
"01.04.2023","9,24","9,55","9,90","8,34","44,27M","-3,25%"
"01.03.2023","9,55","9,24","9,72","7,73","33,90M","3,47%"
"01.02.2023","9,23","8,84","9,40","8,21","19,83M","4,53%"
"01.01.2023","8,83","9,48","9,61","8,49","28,76M","-8,02%"
"01.12.2022","9,60","9,99","10,30","8,87","33,41M","-4,19%"
"01.11.2022","10,02","10,80","11,02","9,47","41,53M","-6,79%"
"01.10.2022","10,75","10,59","11,58","9,97","30,99M","4,57%"
"01.09.2022","10,28","11,33","11,97","10,06","23,51M","-8,54%"
"01.08.2022","11,24","12,27","13,33","11,12","25,69M","-8,69%"
"01.07.2022","12,31","11,99","12,69","10,10","71,51M","2,58%"
"01.06.2022","12,00","10,80","12,78","8,94","123,49M","11,11%"
"01.05.2022","10,80","10,76","11,29","9,90","44,56M","1,12%"
