"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","13,58","13,34","14,15","12,51","9,50M","1,95%"
"01.03.2024","13,32","10,57","13,73","10,35","4,59M","26,26%"
"01.02.2024","10,55","10,18","11,30","10,10","91,90M","4,66%"
"01.01.2024","10,08","9,36","10,37","9,01","72,01M","7,58%"
"01.12.2023","9,37","8,40","9,72","8,21","74,94M","11,28%"
"01.11.2023","8,42","7,39","8,77","7,27","96,63M","13,78%"
"01.10.2023","7,40","8,42","8,42","6,98","113,85M","-13,65%"
"01.09.2023","8,57","8,65","9,53","8,23","76,33M","-0,70%"
"01.08.2023","8,63","9,47","10,09","8,45","86,09M","-10,20%"
"01.07.2023","9,61","10,19","10,52","9,58","61,16M","-5,41%"
"01.06.2023","10,16","10,02","10,59","9,02","117,66M","2,11%"
"01.05.2023","9,95","8,27","10,28","8,21","104,38M","17,82%"
"01.04.2023","8,45","9,00","9,18","7,92","109,83M","4,62%"
"01.03.2023","8,07","8,01","8,37","7,16","88,89M","1,37%"
"01.02.2023","7,96","8,72","8,91","7,47","103,14M","-9,08%"
"01.01.2023","8,76","7,77","8,94","6,96","111,81M","12,80%"
"01.12.2022","7,76","7,53","8,37","6,14","126,92M","2,83%"
"01.11.2022","7,55","8,75","9,00","7,05","96,50M","-13,91%"
"01.10.2022","8,77","7,44","8,80","7,43","93,77M","19,11%"
"01.09.2022","7,36","7,41","8,37","7,25","86,37M","-0,94%"
"01.08.2022","7,43","6,03","7,82","5,82","91,13M","23,62%"
"01.07.2022","6,01","6,10","6,43","5,49","63,63M","0,00%"
"01.06.2022","6,01","6,73","6,81","5,69","64,02M","-10,44%"
"01.05.2022","6,71","6,57","7,42","5,67","125,30M","2,68%"
