"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","58,46","64,03","65,50","58,12","3,97M","-8,63%"
"01.03.2024","63,98","56,45","64,08","56,40","7,16M","13,54%"
"01.02.2024","56,35","51,62","58,04","50,71","79,42M","9,16%"
"01.01.2024","51,62","55,70","56,29","50,31","75,64M","-7,21%"
"01.12.2023","55,63","52,18","56,02","49,51","119,98M","3,44%"
"01.11.2023","53,78","51,43","55,12","50,41","109,63M","4,29%"
"01.10.2023","51,57","54,10","59,05","51,25","151,85M","-4,99%"
"01.09.2023","54,28","50,32","56,90","47,48","126,99M","8,24%"
"01.08.2023","50,15","48,11","51,88","47,67","99,32M","4,33%"
"01.07.2023","48,07","44,31","48,61","43,28","89,94M","8,71%"
"01.06.2023","44,22","45,02","48,80","43,56","148,31M","-1,25%"
"01.05.2023","44,78","40,35","47,56","39,53","166,41M","12,51%"
"01.04.2023","39,80","41,80","43,36","37,15","138,59M","-4,33%"
"01.03.2023","41,60","48,09","48,68","41,60","117,09M","-12,86%"
"01.02.2023","47,74","46,20","48,84","44,40","90,08M","2,98%"
"01.01.2023","46,36","48,24","51,70","44,15","130,66M","-3,90%"
"01.12.2022","48,24","50,97","53,52","46,00","141,17M","-5,96%"
"01.11.2022","51,30","51,02","57,79","49,92","148,45M","-0,09%"
"01.10.2022","51,34","43,12","53,47","42,68","119,80M","19,55%"
"01.09.2022","42,95","42,93","44,31","40,44","108,82M","0,54%"
"01.08.2022","42,72","46,67","49,61","42,72","132,81M","-8,35%"
"01.07.2022","46,60","47,98","49,03","41,99","109,47M","-2,82%"
"01.06.2022","47,96","51,63","52,78","43,34","131,00M","-7,12%"
"01.05.2022","51,63","47,40","52,80","46,48","127,33M","9,09%"
