"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","8,81","8,86","9,15","8,35","277,00K","0,34%"
"01.03.2024","8,78","7,72","8,99","7,42","433,30K","12,56%"
"01.02.2024","7,80","4,53","8,01","4,35","10,95M","69,57%"
"01.01.2024","4,60","4,79","4,87","4,13","7,92M","-3,97%"
"01.12.2023","4,79","4,17","4,79","4,08","6,85M","15,42%"
"01.11.2023","4,15","3,73","4,25","3,66","12,19M","10,67%"
"01.10.2023","3,75","4,11","4,18","3,71","7,56M","-8,76%"
"01.09.2023","4,11","4,10","4,20","3,96","3,93M","0,49%"
"01.08.2023","4,09","4,08","4,38","3,96","3,95M","-0,73%"
"01.07.2023","4,12","3,92","4,43","3,92","5,60M","3,52%"
"01.06.2023","3,98","3,83","4,10","3,75","6,53M","3,38%"
"01.05.2023","3,85","3,42","3,85","3,22","5,60M","13,24%"
"01.04.2023","3,40","3,18","3,59","2,72","9,74M","6,58%"
"01.03.2023","3,19","4,00","4,22","2,96","8,53M","-20,05%"
"01.02.2023","3,99","4,18","4,24","3,90","5,53M","-5,23%"
"01.01.2023","4,21","4,13","4,29","3,92","8,24M","1,45%"
"01.12.2022","4,15","4,48","4,58","3,86","7,25M","-6,53%"
"01.11.2022","4,44","5,11","5,40","4,35","7,53M","-12,60%"
"01.10.2022","5,08","4,90","5,53","4,78","9,17M","3,89%"
"01.09.2022","4,89","4,55","5,07","4,39","8,47M","7,24%"
"01.08.2022","4,56","4,12","4,81","4,07","10,71M","10,41%"
"01.07.2022","4,13","4,13","4,33","3,95","9,87M","0,73%"
"01.06.2022","4,10","5,03","5,58","3,98","12,23M","-18,81%"
"01.05.2022","5,05","5,19","5,82","4,90","16,91M","-2,73%"
