"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,8200","12,1800","12,2900","11,7200","168,50K","-2,88%"
"01.03.2024","12,1700","11,8600","12,1900","11,5900","202,90K","2,61%"
"01.02.2024","11,8600","12,3700","12,4300","11,5200","5,66M","-4,12%"
"01.01.2024","12,3700","12,6296","12,6984","12,2200","4,77M","-3,59%"
"01.12.2023","12,8300","12,1600","12,8700","11,9400","3,53M","4,99%"
"01.11.2023","12,2200","11,1548","12,3000","11,0761","4,54M","7,67%"
"01.10.2023","11,3500","11,5700","11,5800","11,1200","5,74M","-1,90%"
"01.09.2023","11,5700","11,4800","11,8000","11,3600","4,89M","0,96%"
"01.08.2023","11,4600","11,7887","12,0715","11,4500","9,64M","-5,29%"
"01.07.2023","12,1000","12,6000","12,6000","12,0400","5,03M","-3,97%"
"01.06.2023","12,6000","12,3700","12,7900","12,1200","4,07M","1,69%"
"01.05.2023","12,3900","12,0048","12,6900","11,5000","4,70M","3,21%"
"01.04.2023","12,0048","11,6456","12,0647","11,1366","6,99M","3,08%"
"01.03.2023","11,6456","11,8751","12,4539","11,3961","8,51M","-1,85%"
"01.02.2023","11,8651","12,3640","12,4139","11,7453","7,79M","-4,04%"
"01.01.2023","12,3640","11,2916","12,3940","10,8495","12,45M","10,44%"
"01.12.2022","11,1955","11,2339","11,6087","10,4747","7,98M","-0,34%"
"01.11.2022","11,2339","12,5790","12,7755","11,2243","8,43M","-10,69%"
"01.10.2022","12,5790","12,6070","12,7287","12,0735","4,14M","3,07%"
"01.09.2022","12,2046","12,9814","13,2903","12,0455","3,04M","-5,98%"
"01.08.2022","12,9814","12,1933","13,2878","12,0757","3,40M","6,94%"
"01.07.2022","12,1390","11,7319","12,3742","11,5058","2,36M","3,63%"
"01.06.2022","11,7139","12,2475","12,5641","11,5510","3,14M","-4,15%"
"01.05.2022","12,2204","12,6569","13,0087","12,0304","4,71M","-3,64%"
