"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,26","13,46","13,54","12,01","348,40K","-8,92%"
"01.03.2024","13,46","14,09","14,53","12,99","271,40K","-4,47%"
"01.02.2024","14,09","14,35","14,56","13,91","5,59M","-1,61%"
"01.01.2024","14,32","15,20","15,50","14,32","6,36M","-5,79%"
"01.12.2023","15,20","14,49","15,81","14,13","6,69M","6,15%"
"01.11.2023","14,32","14,71","15,48","13,93","9,68M","-3,24%"
"01.10.2023","14,80","16,05","16,65","14,63","6,79M","-7,85%"
"01.09.2023","16,06","15,14","17,08","14,89","10,39M","8,08%"
"01.08.2023","14,86","14,78","15,83","14,41","13,50M","0,07%"
"01.07.2023","14,85","15,20","15,50","14,30","11,84M","-1,46%"
"01.06.2023","15,07","15,14","16,01","14,45","15,91M","1,21%"
"01.05.2023","14,89","15,83","16,31","13,50","18,43M","-5,79%"
"01.04.2023","15,80","14,93","16,36","14,49","11,91M","5,69%"
"01.03.2023","14,95","13,42","15,61","12,52","16,29M","11,05%"
"01.02.2023","13,47","15,52","15,98","13,43","11,10M","-13,48%"
"01.01.2023","15,56","12,06","15,59","11,09","16,83M","26,14%"
"01.12.2022","12,34","13,54","13,99","11,28","15,24M","-9,18%"
"01.11.2022","13,59","13,72","14,42","12,30","17,89M","-1,28%"
"01.10.2022","13,76","15,30","15,84","13,28","16,84M","-8,99%"
"01.09.2022","15,12","16,04","16,49","14,12","20,41M","-5,87%"
"01.08.2022","16,06","17,30","18,62","16,04","15,06M","-6,96%"
"01.07.2022","17,26","14,99","17,84","14,81","9,06M","15,10%"
"01.06.2022","15,00","18,32","19,06","14,93","16,52M","-18,15%"
"01.05.2022","18,33","21,99","22,84","18,26","24,31M","-16,61%"
