"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,38","2,97","3,05","2,33","223,70K","-18,49%"
"01.03.2024","2,92","2,85","3,13","2,76","144,50K","2,82%"
"01.02.2024","2,84","3,11","3,29","2,79","1,32M","-6,89%"
"01.01.2024","3,05","3,98","4,00","3,00","1,97M","-24,13%"
"01.12.2023","4,02","3,03","4,30","2,95","4,91M","32,67%"
"01.11.2023","3,03","2,98","3,10","2,56","1,99M","2,71%"
"01.10.2023","2,95","3,10","3,19","2,59","2,06M","-4,22%"
"01.09.2023","3,08","3,93","4,06","2,90","2,91M","-21,83%"
"01.08.2023","3,94","3,70","4,19","3,50","3,14M","4,79%"
"01.07.2023","3,76","3,54","3,87","3,35","1,83M","8,05%"
"01.06.2023","3,48","3,13","4,04","3,05","3,10M","11,54%"
"01.05.2023","3,12","2,68","3,24","2,67","1,94M","14,71%"
"01.04.2023","2,72","2,85","3,10","2,57","2,00M","-2,16%"
"01.03.2023","2,78","2,41","3,00","2,25","2,66M","15,35%"
"01.02.2023","2,41","3,08","3,18","2,34","2,23M","-21,75%"
"01.01.2023","3,08","2,65","3,99","2,48","13,89M","16,23%"
"01.12.2022","2,65","3,15","3,20","2,45","2,69M","-15,87%"
"01.11.2022","3,15","3,92","4,40","2,98","4,98M","-18,81%"
"01.10.2022","3,88","3,30","4,24","3,27","5,69M","19,75%"
"01.09.2022","3,24","3,06","3,28","2,73","6,93M","7,64%"
"01.08.2022","3,01","2,36","3,47","2,29","8,80M","27,00%"
"01.07.2022","2,37","1,84","2,54","1,80","6,53M","32,40%"
"01.06.2022","1,79","2,40","2,43","1,79","8,01M","-24,47%"
"01.05.2022","2,37","3,02","3,07","2,37","9,02M","-21,26%"
