"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,45","4,50","5,15","4,16","190,30K","1,14%"
"01.03.2024","4,40","3,29","4,60","3,20","97,50K","35,80%"
"01.02.2024","3,24","3,55","3,56","3,22","2,96M","-11,72%"
"01.01.2024","3,67","3,52","3,76","3,50","2,89M","4,26%"
"01.12.2023","3,52","3,46","3,59","3,40","2,11M","1,73%"
"01.11.2023","3,46","3,31","3,68","3,28","2,79M","2,37%"
"01.10.2023","3,38","3,43","3,59","3,20","3,53M","-2,87%"
"01.09.2023","3,48","3,19","3,65","3,16","3,04M","9,09%"
"01.08.2023","3,19","3,55","3,58","3,13","5,07M","-10,89%"
"01.07.2023","3,58","3,49","3,79","3,28","5,18M","2,87%"
"01.06.2023","3,48","2,97","3,57","2,94","8,96M","19,18%"
"01.05.2023","2,92","2,85","3,42","2,81","10,17M","0,34%"
"01.04.2023","2,91","3,14","3,21","2,75","6,06M","-5,52%"
"01.03.2023","3,08","2,56","3,09","2,38","13,16M","20,78%"
"01.02.2023","2,55","2,26","2,95","2,19","13,20M","11,84%"
"01.01.2023","2,28","2,10","2,55","2,10","7,55M","7,55%"
"01.12.2022","2,12","2,17","2,32","1,98","18,56M","-2,30%"
"01.11.2022","2,17","2,19","2,42","1,97","9,76M","-1,81%"
"01.10.2022","2,21","2,32","2,44","2,08","9,85M","-3,91%"
"01.09.2022","2,30","2,63","2,70","2,23","8,81M","-11,54%"
"01.08.2022","2,60","2,26","2,83","2,24","15,14M","15,04%"
"01.07.2022","2,26","2,32","2,51","2,15","11,41M","-2,16%"
"01.06.2022","2,31","2,33","2,61","2,15","12,71M","-0,43%"
"01.05.2022","2,32","2,46","2,69","2,17","13,20M","-4,92%"
