"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,34","12,84","14,29","11,02","3,53M","-3,82%"
"01.03.2024","12,83","10,81","13,24","10,01","5,46M","18,69%"
"01.02.2024","10,81","10,03","11,70","9,30","51,29M","8,53%"
"01.01.2024","9,96","14,67","14,77","9,50","109,04M","-32,84%"
"01.12.2023","14,83","13,80","15,50","12,42","53,13M","7,62%"
"01.11.2023","13,78","11,40","14,24","11,25","56,12M","21,52%"
"01.10.2023","11,34","13,31","13,39","9,99","76,98M","-13,63%"
"01.09.2023","13,13","12,91","14,48","11,47","64,79M","2,58%"
"01.08.2023","12,80","11,84","15,52","11,66","84,20M","6,76%"
"01.07.2023","11,99","11,50","13,52","10,89","71,03M","4,26%"
"01.06.2023","11,50","8,18","11,86","8,16","57,63M","41,10%"
"01.05.2023","8,15","5,85","8,54","5,75","104,48M","39,55%"
"01.04.2023","5,84","4,78","6,26","4,39","69,62M","21,92%"
"01.03.2023","4,79","4,69","6,52","4,30","115,95M","2,57%"
"01.02.2023","4,67","4,77","5,15","3,93","65,57M","-2,30%"
"01.01.2023","4,78","4,15","5,36","3,96","90,24M","13,27%"
"01.12.2022","4,22","4,49","4,80","3,77","70,74M","-5,80%"
"01.11.2022","4,48","6,15","6,48","4,20","87,29M","-26,44%"
"01.10.2022","6,09","7,40","7,75","4,64","88,30M","-15,65%"
"01.09.2022","7,22","5,86","8,41","5,78","89,60M","23,63%"
"01.08.2022","5,84","3,90","6,61","3,79","98,14M","49,36%"
"01.07.2022","3,91","3,91","6,09","3,84","71,99M","0,26%"
"01.06.2022","3,90","5,04","5,06","3,68","50,45M","-22,16%"
"01.05.2022","5,01","5,88","5,88","4,45","60,05M","-13,92%"
