"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","24,22","27,50","28,22","23,46","107,40K","-12,53%"
"01.03.2024","27,69","26,98","29,05","26,15","144,10K","3,28%"
"01.02.2024","26,81","26,08","26,99","25,14","2,92M","2,80%"
"01.01.2024","26,08","28,07","28,23","25,13","5,32M","-7,81%"
"01.12.2023","28,29","26,80","28,32","26,38","6,40M","5,80%"
"01.11.2023","26,74","24,44","27,14","23,44","3,64M","9,28%"
"01.10.2023","24,47","25,85","25,85","23,01","3,40M","-5,34%"
"01.09.2023","25,85","26,06","26,88","24,65","4,56M","1,37%"
"01.08.2023","25,50","21,92","26,89","21,56","4,78M","13,79%"
"01.07.2023","22,41","22,08","22,41","19,32","3,49M","2,33%"
"01.06.2023","21,90","22,45","23,72","21,72","2,55M","-2,23%"
"01.05.2023","22,40","18,84","22,67","18,12","3,71M","18,90%"
"01.04.2023","18,84","17,31","18,95","16,83","3,29M","7,28%"
"01.03.2023","17,56","16,70","18,13","15,64","5,91M","4,46%"
"01.02.2023","16,81","18,07","18,98","16,69","3,07M","-7,27%"
"01.01.2023","18,13","18,27","19,12","17,32","3,42M","-2,73%"
"01.12.2022","18,64","19,36","21,54","18,50","6,22M","-4,06%"
"01.11.2022","19,43","20,96","22,96","18,51","7,34M","-7,75%"
"01.10.2022","21,06","18,72","21,19","18,52","5,71M","14,79%"
"01.09.2022","18,35","16,68","18,76","16,60","4,11M","10,03%"
"01.08.2022","16,67","12,34","17,18","12,31","6,94M","35,07%"
"01.07.2022","12,34","12,68","12,85","11,63","3,41M","-2,55%"
"01.06.2022","12,67","14,40","14,83","12,52","3,88M","-11,95%"
"01.05.2022","14,39","13,07","14,81","12,43","4,42M","9,80%"
