"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","17,61","17,89","18,88","17,03","3,81M","-1,07%"
"01.03.2024","17,80","18,17","19,08","17,59","6,64M","-2,04%"
"01.02.2024","18,17","17,37","18,99","17,21","137,40M","4,79%"
"01.01.2024","17,34","17,93","17,95","16,75","115,69M","-3,29%"
"01.12.2023","17,93","17,23","18,30","16,92","109,32M","4,00%"
"01.11.2023","17,24","15,23","17,57","15,22","243,17M","13,65%"
"01.10.2023","15,17","14,89","15,62","14,74","142,77M","1,88%"
"01.09.2023","14,89","14,33","15,37","13,99","145,71M","3,33%"
"01.08.2023","14,41","14,60","15,08","14,05","161,84M","0,49%"
"01.07.2023","14,34","14,65","14,81","13,69","128,76M","-1,92%"
"01.06.2023","14,62","13,85","15,13","13,55","122,53M","5,59%"
"01.05.2023","13,85","13,86","14,44","13,12","146,48M","-0,29%"
"01.04.2023","13,89","12,16","14,03","11,70","141,00M","14,23%"
"01.03.2023","12,16","11,91","12,84","11,56","158,97M","2,61%"
"01.02.2023","11,85","11,34","12,21","10,39","185,77M","3,99%"
"01.01.2023","11,39","11,97","12,02","10,88","183,94M","-4,92%"
"01.12.2022","11,98","12,33","12,64","11,61","128,90M","-3,15%"
"01.11.2022","12,37","12,62","13,25","11,93","184,01M","-1,52%"
"01.10.2022","12,56","11,56","12,61","11,28","228,76M","9,27%"
"01.09.2022","11,50","11,07","12,10","10,95","226,68M","3,83%"
"01.08.2022","11,07","11,73","12,26","10,95","171,77M","-6,04%"
"01.07.2022","11,78","11,95","12,77","11,49","128,30M","-1,33%"
"01.06.2022","11,94","13,31","13,45","11,35","152,28M","-10,59%"
"01.05.2022","13,36","12,52","13,40","12,02","127,42M","6,82%"
