"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","27,54","28,39","29,06","26,43","2,84M","-2,96%"
"01.03.2024","28,38","30,83","31,55","27,85","2,16M","-7,53%"
"01.02.2024","30,69","31,50","33,04","29,25","89,85M","-2,63%"
"01.01.2024","31,52","33,13","33,39","30,24","58,40M","-6,44%"
"01.12.2023","33,69","33,17","34,88","32,35","66,33M","1,14%"
"01.11.2023","33,31","25,51","34,09","25,32","121,03M","31,61%"
"01.10.2023","25,31","27,04","27,87","24,93","62,71M","-6,26%"
"01.09.2023","27,00","27,75","29,70","26,13","97,36M","-2,67%"
"01.08.2023","27,74","29,35","30,39","26,86","111,01M","-6,19%"
"01.07.2023","29,57","30,04","30,85","28,07","72,29M","-1,37%"
"01.06.2023","29,98","28,85","30,74","28,20","95,56M","4,24%"
"01.05.2023","28,76","25,70","30,16","25,00","99,38M","12,08%"
"01.04.2023","25,66","28,00","29,33","25,03","98,20M","-8,88%"
"01.03.2023","28,16","27,61","29,24","26,09","121,96M","3,19%"
"01.02.2023","27,29","30,08","31,30","27,29","79,06M","-9,25%"
"01.01.2023","30,07","26,86","30,58","24,93","93,84M","9,70%"
"01.12.2022","27,41","30,01","30,74","24,92","108,56M","-10,50%"
"01.11.2022","30,63","33,01","33,42","28,15","107,12M","-6,94%"
"01.10.2022","32,91","30,07","33,20","28,69","98,49M","12,98%"
"01.09.2022","29,13","28,33","30,50","27,57","82,31M","2,80%"
"01.08.2022","28,33","26,02","31,24","25,60","103,35M","8,66%"
"01.07.2022","26,07","22,79","26,60","22,36","78,77M","13,37%"
"01.06.2022","23,00","28,31","29,52","22,27","102,25M","-18,01%"
"01.05.2022","28,05","30,91","32,03","24,28","170,89M","-11,26%"
