"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","3,86","3,98","3,99","3,74","24,90K","-3,26%"
"01.03.2024","3,99","3,95","4,03","3,70","33,30K","1,01%"
"01.02.2024","3,95","4,02","4,03","3,61","984,30K","-2,71%"
"01.01.2024","4,06","4,15","4,20","3,95","881,50K","-3,33%"
"01.12.2023","4,20","4,03","4,20","3,91","750,10K","2,44%"
"01.11.2023","4,10","3,92","4,22","3,84","1,46M","5,13%"
"01.10.2023","3,90","4,24","4,38","3,80","1,29M","-8,24%"
"01.09.2023","4,25","3,95","4,29","3,85","934,90K","8,70%"
"01.08.2023","3,91","3,95","4,10","3,41","1,56M","-1,01%"
"01.07.2023","3,95","3,96","4,53","3,51","1,69M","0,51%"
"01.06.2023","3,93","3,20","4,69","3,18","4,10M","22,81%"
"01.05.2023","3,20","3,28","3,56","3,07","1,49M","-2,14%"
"01.04.2023","3,27","3,27","3,55","3,06","1,14M","0,00%"
"01.03.2023","3,27","3,43","3,83","3,12","1,77M","-3,54%"
"01.02.2023","3,39","3,87","3,91","3,27","1,47M","-11,49%"
"01.01.2023","3,83","3,55","4,22","3,47","5,43M","7,89%"
"01.12.2022","3,55","4,97","5,13","3,47","3,18M","-29,14%"
"01.11.2022","5,01","6,71","7,10","4,66","2,12M","-24,89%"
"01.10.2022","6,67","7,18","7,65","6,12","4,34M","-5,52%"
"01.09.2022","7,06","5,72","7,54","4,85","8,34M","24,30%"
"01.08.2022","5,68","5,33","6,31","5,13","3,12M","8,19%"
"01.07.2022","5,25","4,46","5,60","4,02","3,04M","18,78%"
"01.06.2022","4,42","5,84","5,84","4,42","2,59M","-22,73%"
"01.05.2022","5,72","6,15","6,43","5,21","2,90M","-6,54%"
