"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,57","5,65","5,74","4,29","579,40K","-19,54%"
"01.03.2024","5,68","4,79","5,93","4,75","826,90K","18,58%"
"01.02.2024","4,79","4,80","4,92","4,25","9,47M","-0,21%"
"01.01.2024","4,80","5,75","5,75","4,64","14,28M","-17,24%"
"01.12.2023","5,80","5,51","5,95","5,30","13,82M","4,69%"
"01.11.2023","5,54","4,64","5,84","4,51","20,55M","19,14%"
"01.10.2023","4,65","5,36","5,36","4,35","22,19M","-13,25%"
"01.09.2023","5,36","5,40","6,10","4,94","18,42M","0,75%"
"01.08.2023","5,32","6,10","7,00","5,32","32,52M","-13,36%"
"01.07.2023","6,14","5,56","6,44","5,41","24,97M","10,43%"
"01.06.2023","5,56","4,82","5,87","4,73","23,00M","15,59%"
"01.05.2023","4,81","3,49","4,84","3,30","17,51M","36,65%"
"01.04.2023","3,52","2,90","3,59","2,83","14,48M","19,90%"
"01.03.2023","2,94","3,12","3,55","2,73","24,68M","-4,67%"
"01.02.2023","3,08","3,55","3,77","3,04","12,62M","-14,17%"
"01.01.2023","3,59","3,23","3,74","3,07","19,07M","8,72%"
"01.12.2022","3,30","3,55","3,92","3,02","23,67M","-6,27%"
"01.11.2022","3,52","4,59","4,92","3,36","21,65M","-22,90%"
"01.10.2022","4,57","4,98","5,51","4,13","22,44M","-7,39%"
"01.09.2022","4,93","4,49","5,18","4,45","20,65M","10,06%"
"01.08.2022","4,48","3,65","5,04","3,58","23,46M","22,89%"
"01.07.2022","3,65","3,23","3,82","3,22","20,07M","11,44%"
"01.06.2022","3,27","3,77","3,77","3,10","28,06M","-12,11%"
"01.05.2022","3,72","3,85","4,19","3,54","35,58M","-2,27%"
