"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","26,03","27,79","29,23","25,74","367,10K","-6,47%"
"01.03.2024","27,83","25,68","28,40","25,32","646,30K","8,71%"
"01.02.2024","25,60","26,65","26,65","24,50","10,27M","-3,32%"
"01.01.2024","26,48","28,48","28,61","25,56","11,26M","-8,94%"
"01.12.2023","29,08","25,80","29,08","25,26","12,13M","13,15%"
"01.11.2023","25,70","24,40","26,76","23,86","10,11M","5,37%"
"01.10.2023","24,39","26,99","26,99","24,06","12,19M","-10,30%"
"01.09.2023","27,19","26,01","28,55","25,59","11,64M","4,78%"
"01.08.2023","25,95","27,15","28,89","25,17","17,62M","-4,49%"
"01.07.2023","27,17","26,20","27,49","25,15","13,33M","3,62%"
"01.06.2023","26,22","25,61","26,90","24,73","15,07M","2,99%"
"01.05.2023","25,46","21,82","26,44","21,48","20,79M","18,10%"
"01.04.2023","21,56","23,40","24,17","21,07","13,45M","-7,93%"
"01.03.2023","23,41","26,41","26,85","22,34","15,85M","-10,79%"
"01.02.2023","26,25","26,17","28,21","25,60","10,54M","0,52%"
"01.01.2023","26,11","26,79","27,77","24,89","11,41M","-0,42%"
"01.12.2022","26,22","27,35","28,74","24,44","15,84M","-3,43%"
"01.11.2022","27,15","27,84","30,62","26,42","20,77M","-3,39%"
"01.10.2022","28,11","24,21","28,82","23,76","15,08M","17,69%"
"01.09.2022","23,88","25,41","27,35","23,64","17,35M","-6,03%"
"01.08.2022","25,41","21,66","26,95","21,43","22,25M","17,30%"
"01.07.2022","21,66","21,31","22,16","19,36","13,99M","2,43%"
"01.06.2022","21,15","22,07","23,28","19,70","15,48M","-3,77%"
"01.05.2022","21,98","19,47","22,04","18,21","26,31M","12,90%"
