"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,47","2,68","2,70","2,33","16,90K","-6,79%"
"01.03.2024","2,65","2,66","2,77","2,47","128,20K","-0,38%"
"01.02.2024","2,66","2,84","2,90","2,61","683,40K","-6,01%"
"01.01.2024","2,83","2,65","2,89","2,62","736,20K","7,60%"
"01.12.2023","2,63","2,46","3,07","2,46","1,51M","0,38%"
"01.11.2023","2,62","2,50","2,79","2,45","832,20K","3,56%"
"01.10.2023","2,53","2,55","2,65","2,35","641,40K","-0,39%"
"01.09.2023","2,54","2,66","2,80","2,50","2,36M","-4,51%"
"01.08.2023","2,66","3,15","3,15","2,57","1,19M","-15,56%"
"01.07.2023","3,15","2,80","3,15","2,76","952,30K","12,50%"
"01.06.2023","2,80","2,63","2,90","2,56","660,90K","6,87%"
"01.05.2023","2,62","2,36","2,62","2,31","723,60K","11,97%"
"01.04.2023","2,34","2,37","2,53","2,28","514,00K","-3,31%"
"01.03.2023","2,42","2,40","2,66","2,30","689,40K","0,83%"
"01.02.2023","2,40","2,45","2,66","2,35","1,11M","-2,04%"
"01.01.2023","2,45","2,55","2,55","2,39","901,30K","-3,54%"
"01.12.2022","2,54","2,43","2,86","2,36","1,36M","5,10%"
"01.11.2022","2,42","2,58","2,80","2,31","469,60K","-5,84%"
"01.10.2022","2,57","2,92","3,00","2,54","661,20K","-12,18%"
"01.09.2022","2,92","2,74","3,13","2,66","851,10K","8,33%"
"01.08.2022","2,70","2,31","2,82","2,28","1,16M","18,52%"
"01.07.2022","2,28","2,49","2,62","2,15","3,28M","-10,33%"
"01.06.2022","2,54","2,90","3,00","2,49","1,18M","-12,01%"
"01.05.2022","2,89","3,19","3,47","2,88","1,75M","-9,41%"
