"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","25,85","28,45","29,17","25,58","2,96M","-9,20%"
"01.03.2024","28,47","29,28","29,67","27,40","3,94M","-3,03%"
"01.02.2024","29,36","28,25","31,28","27,30","115,57M","4,22%"
"01.01.2024","28,17","26,24","28,61","25,73","107,91M","6,26%"
"01.12.2023","26,51","25,21","26,59","24,52","98,58M","4,99%"
"01.11.2023","25,25","20,62","25,50","20,55","175,34M","23,47%"
"01.10.2023","20,45","18,63","21,20","17,87","121,36M","9,07%"
"01.09.2023","18,75","18,26","19,47","18,02","104,20M","3,25%"
"01.08.2023","18,16","18,38","19,38","17,73","104,21M","-3,86%"
"01.07.2023","18,89","18,93","19,93","18,34","103,10M","0,00%"
"01.06.2023","18,89","16,92","19,13","16,88","146,07M","11,58%"
"01.05.2023","16,93","14,32","18,02","13,99","202,52M","17,24%"
"01.04.2023","14,44","14,00","15,06","13,66","150,24M","3,44%"
"01.03.2023","13,96","13,19","14,06","12,67","160,81M","5,92%"
"01.02.2023","13,18","13,03","13,85","12,11","169,56M","0,66%"
"01.01.2023","13,09","12,31","13,40","11,55","107,91M","4,60%"
"01.12.2022","12,52","13,83","14,40","11,57","143,39M","-11,20%"
"01.11.2022","14,10","13,30","14,46","12,38","175,29M","5,89%"
"01.10.2022","13,31","12,04","13,59","11,87","152,21M","14,32%"
"01.09.2022","11,64","13,46","13,96","11,25","133,63M","-13,30%"
"01.08.2022","13,43","12,54","14,39","12,51","143,32M","6,62%"
"01.07.2022","12,60","12,08","12,97","11,38","95,41M","3,09%"
"01.06.2022","12,22","14,23","14,39","11,74","144,17M","-14,34%"
"01.05.2022","14,27","12,52","14,42","11,13","191,41M","13,36%"
