"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","52,50","62,60","62,79","52,50","12,90K","-16,01%"
"01.03.2024","62,51","63,21","65,00","61,00","7,70K","-0,45%"
"01.02.2024","62,79","67,00","67,00","62,38","148,00K","-6,28%"
"01.01.2024","67,00","69,98","70,37","66,31","382,30K","-4,82%"
"01.12.2023","70,39","66,57","72,54","65,22","189,60K","4,20%"
"01.11.2023","67,55","66,46","70,60","65,00","222,60K","1,18%"
"01.10.2023","66,76","72,86","72,92","65,45","213,70K","-9,44%"
"01.09.2023","73,72","72,32","76,23","70,26","187,40K","1,95%"
"01.08.2023","72,31","75,13","76,30","68,10","291,40K","-3,46%"
"01.07.2023","74,90","74,61","78,83","73,50","240,60K","0,39%"
"01.06.2023","74,61","66,26","76,53","66,00","346,30K","12,60%"
"01.05.2023","66,26","61,99","71,53","60,00","344,10K","5,59%"
"01.04.2023","62,75","64,79","68,35","60,60","363,30K","-2,80%"
"01.03.2023","64,56","72,95","73,98","62,82","628,60K","-11,33%"
"01.02.2023","72,80","76,36","77,14","72,74","380,90K","-3,66%"
"01.01.2023","75,57","77,90","79,38","72,64","549,10K","-5,31%"
"01.12.2022","79,80","82,28","84,92","76,34","322,80K","-3,49%"
"01.11.2022","82,69","86,96","96,22","80,53","496,10K","-3,95%"
"01.10.2022","86,09","80,02","87,87","79,67","409,70K","8,06%"
"01.09.2022","79,67","85,12","86,60","76,44","593,20K","-6,74%"
"01.08.2022","85,43","72,34","85,43","70,20","592,40K","18,99%"
"01.07.2022","71,79","72,88","74,61","68,71","768,30K","-2,16%"
"01.06.2022","73,38","83,04","83,90","69,48","843,80K","-11,66%"
"01.05.2022","83,06","79,52","85,85","77,62","712,30K","4,20%"
