"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,11","8,43","8,71","6,74","10,31M","-14,85%"
"01.03.2024","8,35","8,73","9,01","7,99","10,73M","-4,35%"
"01.02.2024","8,73","8,17","9,26","7,57","127,31M","6,85%"
"01.01.2024","8,17","10,00","10,07","7,92","122,45M","-18,87%"
"01.12.2023","10,07","8,96","10,22","8,81","153,77M","9,10%"
"01.11.2023","9,23","7,88","10,21","7,82","182,36M","17,88%"
"01.10.2023","7,83","9,76","9,76","7,52","185,44M","-19,69%"
"01.09.2023","9,75","11,80","12,33","9,25","198,89M","-16,74%"
"01.08.2023","11,71","11,98","12,68","11,31","145,86M","-1,93%"
"01.07.2023","11,94","12,25","12,44","10,99","128,45M","-1,40%"
"01.06.2023","12,11","12,78","14,74","11,20","207,06M","-4,68%"
"01.05.2023","12,71","11,94","13,52","10,51","140,05M","5,48%"
"01.04.2023","12,05","13,13","14,34","11,68","86,44M","-8,46%"
"01.03.2023","13,16","13,09","14,52","11,84","72,44M","0,53%"
"01.02.2023","13,09","14,61","15,17","12,85","59,69M","-9,17%"
"01.01.2023","14,41","12,30","14,69","10,68","69,60M","15,66%"
"01.12.2022","12,46","12,76","12,93","10,30","97,19M","-2,63%"
"01.11.2022","12,80","15,44","16,11","11,16","95,75M","-17,74%"
"01.10.2022","15,56","13,60","15,85","13,54","61,64M","17,92%"
"01.09.2022","13,19","13,77","15,17","12,48","71,05M","-3,12%"
"01.08.2022","13,62","13,17","15,99","12,55","77,71M","3,75%"
"01.07.2022","13,12","11,09","13,12","10,05","40,42M","16,14%"
"01.06.2022","11,30","14,17","14,77","11,00","49,51M","-22,30%"
"01.05.2022","14,54","12,98","15,11","12,28","69,24M","10,32%"
