"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","23,46","25,00","26,05","22,25","7,21M","-6,20%"
"01.03.2024","25,01","25,90","26,80","23,62","8,23M","-3,29%"
"01.02.2024","25,86","23,75","26,15","22,98","153,40M","8,88%"
"01.01.2024","23,75","22,69","24,03","21,80","164,61M","4,35%"
"01.12.2023","22,76","22,87","23,77","20,87","239,44M","-2,53%"
"01.11.2023","23,35","19,85","23,38","19,85","315,46M","17,99%"
"01.10.2023","19,79","18,87","20,90","18,42","157,38M","4,60%"
"01.09.2023","18,92","18,28","19,37","17,54","191,36M","2,49%"
"01.08.2023","18,46","17,00","19,44","16,23","229,10M","7,76%"
"01.07.2023","17,13","17,94","18,65","16,61","152,53M","-5,10%"
"01.06.2023","18,05","16,15","18,59","16,10","246,62M","12,18%"
"01.05.2023","16,09","13,17","18,05","12,17","397,93M","21,89%"
"01.04.2023","13,20","14,49","15,00","12,93","184,50M","-8,40%"
"01.03.2023","14,41","14,81","15,77","12,77","265,32M","-2,57%"
"01.02.2023","14,79","16,46","16,54","14,55","175,40M","-10,15%"
"01.01.2023","16,46","15,32","16,58","14,20","217,62M","5,85%"
"01.12.2022","15,55","15,99","16,46","13,47","230,75M","-3,50%"
"01.11.2022","16,11","18,02","19,42","15,35","238,16M","-9,42%"
"01.10.2022","17,79","17,44","18,56","16,22","182,63M","5,80%"
"01.09.2022","16,82","17,74","18,68","16,15","209,12M","-4,29%"
"01.08.2022","17,57","16,01","18,51","15,90","219,99M","10,27%"
"01.07.2022","15,93","16,02","16,60","15,24","212,31M","-0,36%"
"01.06.2022","15,99","18,66","18,91","15,64","269,47M","-14,04%"
"01.05.2022","18,60","20,21","20,25","18,05","214,10M","-7,95%"
