"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","22,16","25,94","25,94","21,52","2,89M","-12,76%"
"01.03.2024","25,40","32,35","33,00","23,55","11,81M","-22,32%"
"01.02.2024","32,70","33,80","34,27","31,25","37,60M","-3,25%"
"01.01.2024","33,80","34,61","35,78","32,74","54,46M","-1,31%"
"01.12.2023","34,25","29,91","34,76","29,12","43,55M","15,20%"
"01.11.2023","29,73","25,74","30,05","25,31","42,86M","16,59%"
"01.10.2023","25,50","26,86","28,98","24,13","51,23M","-5,06%"
"01.09.2023","26,86","27,24","28,65","25,35","42,19M","-1,18%"
"01.08.2023","27,18","29,28","31,83","26,85","68,74M","-7,55%"
"01.07.2023","29,40","28,51","30,26","27,36","36,61M","3,23%"
"01.06.2023","28,48","25,75","28,83","25,51","45,14M","11,77%"
"01.05.2023","25,48","21,44","25,63","20,06","50,98M","19,57%"
"01.04.2023","21,31","21,64","22,95","19,17","40,16M","-1,84%"
"01.03.2023","21,71","21,55","23,32","19,75","47,25M","1,98%"
"01.02.2023","21,29","24,26","24,78","21,09","18,27M","-11,55%"
"01.01.2023","24,07","22,03","24,42","19,57","27,51M","9,23%"
"01.12.2022","22,03","21,59","22,41","18,66","24,93M","1,68%"
"01.11.2022","21,67","25,77","27,07","20,64","30,21M","-17,72%"
"01.10.2022","26,34","26,88","28,17","23,84","27,14M","-1,03%"
"01.09.2022","26,61","25,37","27,24","23,99","22,47M","6,86%"
"01.08.2022","24,90","21,81","25,65","21,54","24,83M","14,24%"
"01.07.2022","21,80","21,59","22,98","19,80","18,75M","0,96%"
"01.06.2022","21,59","24,17","24,35","20,01","23,74M","-10,65%"
"01.05.2022","24,17","25,08","25,51","22,46","19,57M","-3,10%"
