"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,97","3,13","3,29","2,86","41,20K","-7,19%"
"01.03.2024","3,20","3,13","3,50","3,02","163,40K","2,24%"
"01.02.2024","3,13","4,29","4,70","3,08","3,63M","-27,38%"
"01.01.2024","4,31","5,15","5,84","4,09","6,37M","-16,96%"
"01.12.2023","5,19","4,32","5,79","4,15","8,32M","20,70%"
"01.11.2023","4,30","3,42","4,59","3,35","4,86M","27,98%"
"01.10.2023","3,36","3,35","3,85","3,24","5,09M","0,00%"
"01.09.2023","3,36","4,09","4,21","3,08","8,44M","-16,00%"
"01.08.2023","4,00","3,24","4,41","2,76","15,48M","21,95%"
"01.07.2023","3,28","3,10","3,31","2,76","10,13M","6,15%"
"01.06.2023","3,09","3,50","3,90","3,01","14,80M","-9,12%"
"01.05.2023","3,40","3,70","4,80","3,40","14,67M","-5,56%"
"01.04.2023","3,60","3,90","3,90","3,30","11,40M","-10,00%"
"01.03.2023","4,00","4,50","4,90","3,90","13,20M","-11,11%"
"01.02.2023","4,50","5,10","5,70","4,00","9,94M","-10,00%"
"01.01.2023","5,00","4,90","6,60","4,80","12,07M","0,00%"
"01.12.2022","5,00","4,90","6,00","3,70","10,43M","0,00%"
"01.11.2022","5,00","6,40","9,80","4,80","22,01M","-12,28%"
"01.10.2022","5,70","5,10","5,90","3,90","7,88M","14,00%"
"01.09.2022","5,00","5,80","6,10","4,80","5,48M","-13,79%"
"01.08.2022","5,80","6,00","7,80","5,80","10,19M","-1,69%"
"01.07.2022","5,90","6,00","6,90","5,60","5,11M","-1,67%"
"01.06.2022","6,00","8,90","9,00","5,90","4,01M","-32,58%"
"01.05.2022","8,90","10,80","11,40","8,80","5,73M","-16,82%"
