"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","47,34","50,70","52,44","47,34","1,71M","-6,44%"
"01.03.2024","50,60","54,51","54,76","50,01","1,19M","-7,12%"
"01.02.2024","54,48","51,36","56,61","51,24","45,55M","6,07%"
"01.01.2024","51,36","53,44","53,44","49,58","43,08M","-3,89%"
"01.12.2023","53,44","52,13","54,22","51,71","33,37M","1,29%"
"01.11.2023","52,76","45,85","53,08","45,82","60,28M","16,62%"
"01.10.2023","45,24","42,91","46,74","42,91","52,78M","4,77%"
"01.09.2023","43,18","41,37","44,78","41,00","47,98M","4,43%"
"01.08.2023","41,35","41,79","43,15","40,90","45,71M","-1,80%"
"01.07.2023","42,11","43,29","43,85","39,86","44,41M","-2,68%"
"01.06.2023","43,27","39,90","44,53","39,70","54,15M","8,70%"
"01.05.2023","39,81","40,80","42,36","39,81","59,60M","-2,72%"
"01.04.2023","40,92","37,75","41,22","36,57","33,01M","8,16%"
"01.03.2023","37,83","38,28","39,89","37,15","51,23M","-0,56%"
"01.02.2023","38,05","40,73","40,86","37,23","44,74M","-6,89%"
"01.01.2023","40,86","36,15","40,86","34,81","62,97M","12,06%"
"01.12.2022","36,46","36,13","37,71","34,61","47,36M","0,79%"
"01.11.2022","36,18","39,17","40,06","35,90","60,91M","-7,89%"
"01.10.2022","39,28","38,73","40,58","37,11","65,94M","2,03%"
"01.09.2022","38,50","39,08","41,02","38,00","58,83M","-1,15%"
"01.08.2022","38,94","41,84","44,43","38,94","58,08M","-7,76%"
"01.07.2022","42,22","44,93","45,80","42,05","34,33M","-4,65%"
"01.06.2022","44,28","47,73","48,30","42,57","40,94M","-7,82%"
"01.05.2022","48,03","49,87","49,93","45,65","42,59M","-3,86%"
