"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","17,65","18,36","19,56","16,89","319,80K","-4,54%"
"01.03.2024","18,49","18,54","19,69","17,94","327,50K","-1,07%"
"01.02.2024","18,69","20,55","21,77","18,21","7,68M","-8,96%"
"01.01.2024","20,53","20,79","22,34","19,73","11,02M","0,15%"
"01.12.2023","20,50","20,03","21,23","19,94","9,85M","0,79%"
"01.11.2023","20,34","15,74","20,70","15,74","12,08M","28,57%"
"01.10.2023","15,82","16,97","16,97","15,46","6,56M","-7,76%"
"01.09.2023","17,15","17,30","19,40","16,58","10,07M","0,82%"
"01.08.2023","17,01","15,20","17,80","15,01","8,28M","12,20%"
"01.07.2023","15,16","14,36","15,26","13,04","8,41M","3,48%"
"01.06.2023","14,65","14,00","15,70","13,87","9,39M","3,97%"
"01.05.2023","14,09","10,45","14,27","10,25","9,85M","35,80%"
"01.04.2023","10,38","9,57","10,72","9,32","7,23M","9,36%"
"01.03.2023","9,49","8,86","9,86","7,75","6,93M","7,25%"
"01.02.2023","8,85","9,17","9,47","8,56","4,77M","-3,86%"
"01.01.2023","9,20","9,07","9,21","8,05","6,36M","4,49%"
"01.12.2022","8,81","8,67","9,53","8,15","6,68M","2,00%"
"01.11.2022","8,63","10,19","11,17","8,44","7,45M","-16,96%"
"01.10.2022","10,40","9,30","10,54","9,30","3,87M","10,15%"
"01.09.2022","9,44","10,05","10,53","9,17","4,48M","-6,99%"
"01.08.2022","10,15","10,11","10,83","9,61","6,59M","0,47%"
"01.07.2022","10,10","8,97","10,54","8,67","5,33M","12,97%"
"01.06.2022","8,94","9,69","10,53","8,81","6,19M","-7,72%"
"01.05.2022","9,69","8,62","10,90","7,84","7,98M","12,21%"
