"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","14,45","17,00","17,82","14,01","2,40K","-16,95%"
"01.03.2024","17,40","14,27","17,40","13,40","8,30K","22,02%"
"01.02.2024","14,26","18,10","18,10","13,78","60,00K","-20,78%"
"01.01.2024","18,00","20,09","20,49","17,07","298,80K","-11,76%"
"01.12.2023","20,40","14,31","20,60","13,62","1,12M","38,78%"
"01.11.2023","14,70","12,68","14,99","12,06","170,90K","17,69%"
"01.10.2023","12,49","15,97","15,98","11,80","336,60K","-19,94%"
"01.09.2023","15,60","14,81","17,95","13,60","334,10K","8,26%"
"01.08.2023","14,41","19,46","19,50","14,36","461,50K","-25,14%"
"01.07.2023","19,25","18,08","19,59","17,61","692,30K","4,62%"
"01.06.2023","18,40","16,90","19,00","16,13","519,40K","8,88%"
"01.05.2023","16,90","15,77","16,96","15,30","568,50K","7,13%"
"01.04.2023","15,77","15,65","16,56","15,00","581,50K","-0,62%"
"01.03.2023","15,87","14,63","15,87","10,42","1,41M","5,96%"
"01.02.2023","14,98","16,51","16,51","11,41","639,38K","-9,69%"
"01.01.2023","16,59","16,59","16,67","12,54","965,54K","0,00%"
"01.12.2022","16,59","13,09","16,99","11,44","956,80K","22,27%"
"01.11.2022","13,57","14,59","15,15","11,44","428,87K","-6,01%"
"01.10.2022","14,44","12,62","16,33","11,04","1,35M","14,37%"
"01.09.2022","12,62","14,12","14,51","12,23","383,71K","-10,61%"
"01.08.2022","14,12","11,44","15,62","11,04","2,07M","26,05%"
"01.07.2022","11,20","12,23","12,94","11,20","302,00K","-7,79%"
"01.06.2022","12,15","13,17","16,41","11,83","1,12M","-8,34%"
"01.05.2022","13,25","11,67","14,51","10,73","989,58K","15,07%"
