"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","15,83","17,32","17,32","15,73","589,10K","-8,60%"
"01.03.2024","17,32","18,67","20,45","16,95","614,80K","-6,63%"
"01.02.2024","18,55","18,82","19,24","17,28","22,00M","-1,43%"
"01.01.2024","18,82","18,54","20,63","17,28","16,28M","-6,55%"
"01.12.2023","20,14","21,37","21,72","19,60","11,14M","-5,84%"
"01.11.2023","21,39","18,38","22,31","18,05","12,25M","19,43%"
"01.10.2023","17,91","19,38","19,53","17,31","8,60M","-9,50%"
"01.09.2023","19,79","20,00","22,22","19,23","9,86M","0,15%"
"01.08.2023","19,76","19,48","21,69","19,07","14,09M","0,71%"
"01.07.2023","19,62","17,30","19,86","16,73","7,23M","13,41%"
"01.06.2023","17,30","15,90","17,83","15,90","9,35M","8,81%"
"01.05.2023","15,90","13,16","16,06","12,65","16,36M","20,62%"
"01.04.2023","13,18","11,90","13,18","11,01","6,03M","10,98%"
"01.03.2023","11,88","11,32","12,39","10,48","15,92M","4,32%"
"01.02.2023","11,39","11,68","12,24","10,58","5,56M","-1,95%"
"01.01.2023","11,61","12,09","12,36","11,25","5,31M","-5,37%"
"01.12.2022","12,27","12,47","13,08","10,91","7,74M","-1,65%"
"01.11.2022","12,48","13,30","14,81","12,13","13,18M","-6,21%"
"01.10.2022","13,30","14,30","14,75","12,34","8,84M","-5,57%"
"01.09.2022","14,09","13,72","14,35","13,10","16,13M","2,58%"
"01.08.2022","13,73","10,93","14,06","10,89","10,67M","25,20%"
"01.07.2022","10,97","9,69","11,36","9,41","7,96M","12,23%"
"01.06.2022","9,77","11,01","11,56","9,51","7,34M","-11,28%"
"01.05.2022","11,02","9,38","11,44","9,09","11,57M","17,43%"
