"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","39,55","38,19","39,76","37,18","5,62M","3,53%"
"01.03.2024","38,20","36,78","40,02","36,52","4,61M","4,12%"
"01.02.2024","36,69","32,10","37,09","31,82","140,02M","13,45%"
"01.01.2024","32,34","36,91","37,29","32,25","112,40M","-12,38%"
"01.12.2023","36,91","34,12","37,22","34,10","98,40M","7,96%"
"01.11.2023","34,19","32,95","34,57","32,20","144,99M","3,57%"
"01.10.2023","33,01","36,27","36,54","31,47","197,78M","-8,99%"
"01.09.2023","36,27","35,70","37,66","34,53","142,18M","1,09%"
"01.08.2023","35,88","39,92","41,45","35,64","142,96M","-10,12%"
"01.07.2023","39,92","37,73","42,08","34,92","214,79M","5,75%"
"01.06.2023","37,75","37,77","38,74","35,82","162,05M","0,53%"
"01.05.2023","37,55","40,62","41,50","37,55","131,07M","-8,54%"
"01.04.2023","41,05","40,73","41,32","38,11","123,33M","1,41%"
"01.03.2023","40,49","39,05","42,30","38,58","146,60M","3,69%"
"01.02.2023","39,05","37,86","39,55","36,90","128,31M","2,99%"
"01.01.2023","37,91","38,17","39,02","36,34","153,80M","-0,70%"
"01.12.2022","38,18","38,42","39,04","35,09","151,55M","-1,11%"
"01.11.2022","38,61","39,65","41,99","36,06","187,55M","-3,18%"
"01.10.2022","39,87","32,00","40,19","31,01","175,08M","25,33%"
"01.09.2022","31,82","27,96","31,86","27,28","163,06M","13,77%"
"01.08.2022","27,97","27,72","30,71","27,40","162,15M","0,89%"
"01.07.2022","27,72","26,01","28,31","24,60","169,18M","6,56%"
"01.06.2022","26,01","25,15","26,49","22,41","222,33M","4,43%"
"01.05.2022","24,91","29,37","29,73","24,45","222,50M","-15,71%"
