"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,17","1,27","1,39","1,15","1,38M","-7,87%"
"01.03.2024","1,27","1,23","1,31","1,13","1,47M","4,10%"
"01.02.2024","1,22","1,25","1,32","1,18","1,21M","-3,94%"
"01.01.2024","1,27","1,39","1,40","1,21","1,82M","-7,97%"
"01.12.2023","1,38","1,35","1,54","1,32","2,56M","2,99%"
"01.11.2023","1,34","1,20","1,69","1,20","5,81M","12,61%"
"01.10.2023","1,19","1,49","1,49","1,18","3,72M","-19,59%"
"01.09.2023","1,48","1,70","2,02","1,27","8,82M","-11,38%"
"01.08.2023","1,67","1,38","2,67","1,25","59,30M","21,01%"
"01.07.2023","1,38","1,94","2,16","1,34","20,94M","-27,37%"
"01.06.2023","1,90","1,11","1,97","1,10","15,35M","72,73%"
"01.05.2023","1,10","1,22","1,31","1,07","2,72M","-9,84%"
"01.04.2023","1,22","1,15","1,36","1,00","3,57M","3,39%"
"01.03.2023","1,18","1,00","1,21","0,92","3,60M","18,00%"
"01.02.2023","1,00","0,92","1,09","0,90","3,88M","7,53%"
"01.01.2023","0,93","1,12","1,26","0,88","5,98M","-21,85%"
"01.12.2022","1,19","0,89","1,21","0,88","12,90M","33,71%"
"01.11.2022","0,89","1,14","1,25","0,83","13,60M","-21,24%"
"01.10.2022","1,13","1,48","1,68","1,07","19,26M","-23,13%"
"01.09.2022","1,47","1,73","1,86","1,29","6,69M","-15,03%"
"01.08.2022","1,73","2,25","2,83","1,73","10,52M","-22,42%"
"01.07.2022","2,23","2,07","2,31","1,99","5,83M","7,73%"
"01.06.2022","2,07","2,70","2,80","1,98","13,04M","-23,33%"
"01.05.2022","2,70","2,57","2,75","2,10","10,36M","4,25%"
