"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2024","4,65","4,65","4,65","4,65","","0,00%"
"01.04.2024","4,65","4,67","4,75","4,32","0,60K","-0,21%"
"01.03.2024","4,66","4,56","4,67","4,40","3,30K","2,42%"
"01.02.2024","4,55","4,58","4,70","4,38","208,70K","1,11%"
"01.01.2024","4,50","4,62","4,68","4,32","239,00K","-2,81%"
"01.12.2023","4,63","4,04","4,87","3,98","696,00K","6,93%"
"01.11.2023","4,33","4,10","4,36","4,00","310,30K","5,61%"
"01.10.2023","4,10","4,57","4,57","4,09","160,20K","-10,28%"
"01.09.2023","4,57","4,67","4,83","4,42","109,20K","-0,87%"
"01.08.2023","4,61","5,00","5,09","4,40","267,70K","-7,43%"
"01.07.2023","4,98","4,65","5,19","4,58","170,50K","7,10%"
"01.06.2023","4,65","4,50","4,89","4,50","134,60K","3,33%"
"01.05.2023","4,50","4,45","4,61","4,32","112,50K","0,90%"
"01.04.2023","4,46","4,37","4,54","4,25","114,90K","0,90%"
"01.03.2023","4,42","4,74","4,80","4,30","220,00K","-6,16%"
"01.02.2023","4,71","4,76","4,99","4,68","102,10K","-1,88%"
"01.01.2023","4,80","4,97","5,07","4,66","117,20K","-4,00%"
"01.12.2022","5,00","4,88","5,44","4,87","158,90K","2,97%"
"01.11.2022","4,86","5,13","5,43","4,86","121,10K","-5,08%"
"01.10.2022","5,12","5,18","5,54","5,10","104,40K","-1,12%"
"01.09.2022","5,17","5,63","5,72","4,83","211,90K","-7,89%"
"01.08.2022","5,62","4,64","5,77","4,57","224,50K","22,22%"
"01.07.2022","4,60","4,60","4,71","4,42","158,20K","0,00%"
"01.06.2022","4,60","5,00","5,01","4,60","271,60K","-8,09%"
"01.05.2022","5,00","5,43","5,54","4,76","653,70K","-7,98%"
