"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,94","7,32","7,61","6,86","295,10K","-4,14%"
"01.03.2024","7,24","6,21","7,46","6,18","277,00K","16,59%"
"01.02.2024","6,21","6,66","6,70","6,09","6,24M","-6,76%"
"01.01.2024","6,66","7,25","7,25","6,26","9,99M","-8,14%"
"01.12.2023","7,25","5,96","7,38","5,96","10,91M","23,09%"
"01.11.2023","5,89","5,05","6,10","5,03","9,39M","16,40%"
"01.10.2023","5,06","5,28","5,28","4,94","9,29M","-3,62%"
"01.09.2023","5,25","6,08","6,56","5,01","22,30M","-11,17%"
"01.08.2023","5,91","6,29","6,80","5,71","18,21M","-6,19%"
"01.07.2023","6,30","6,30","6,60","6,06","14,69M","0,00%"
"01.06.2023","6,30","5,83","6,63","5,70","12,79M","8,06%"
"01.05.2023","5,83","5,70","6,19","5,19","13,57M","6,68%"
"01.04.2023","5,47","5,45","5,66","5,27","9,74M","0,51%"
"01.03.2023","5,44","6,20","6,60","4,80","18,00M","-12,11%"
"01.02.2023","6,19","6,59","6,96","6,17","12,49M","-5,24%"
"01.01.2023","6,53","6,43","6,88","6,15","19,22M","0,71%"
"01.12.2022","6,48","7,34","7,86","5,79","45,38M","-12,27%"
"01.11.2022","7,39","7,18","7,89","6,82","28,80M","2,57%"
"01.10.2022","7,20","7,43","7,74","6,80","18,00M","-2,14%"
"01.09.2022","7,36","7,41","7,80","6,92","21,34M","-1,36%"
"01.08.2022","7,46","6,86","8,31","6,76","21,98M","8,76%"
"01.07.2022","6,86","7,29","7,38","6,48","16,53M","-5,96%"
"01.06.2022","7,30","8,10","8,18","7,04","22,76M","-10,24%"
"01.05.2022","8,13","6,96","8,48","6,54","35,93M","17,36%"
