"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","14,59","18,18","18,57","13,71","3,85M","-19,44%"
"01.03.2024","18,11","20,43","21,93","17,31","4,67M","-11,05%"
"01.02.2024","20,36","19,32","20,82","18,10","66,05M","5,60%"
"01.01.2024","19,28","22,40","22,56","18,64","73,10M","-14,01%"
"01.12.2023","22,42","20,03","23,57","19,90","54,04M","11,60%"
"01.11.2023","20,09","17,76","21,72","17,46","101,58M","13,31%"
"01.10.2023","17,73","19,80","21,48","17,38","110,65M","-10,77%"
"01.09.2023","19,87","20,50","21,86","18,60","98,70M","-2,45%"
"01.08.2023","20,37","21,63","24,32","19,68","135,68M","-8,20%"
"01.07.2023","22,19","20,02","22,27","18,10","83,20M","11,96%"
"01.06.2023","19,82","14,18","21,18","14,10","140,26M","40,87%"
"01.05.2023","14,07","8,11","14,58","7,65","143,69M","73,28%"
"01.04.2023","8,12","7,04","8,45","6,73","57,04M","15,18%"
"01.03.2023","7,05","7,11","7,91","6,48","119,79M","0,00%"
"01.02.2023","7,05","10,49","10,63","7,05","96,30M","-31,75%"
"01.01.2023","10,33","10,05","10,36","8,88","113,88M","1,57%"
"01.12.2022","10,17","11,46","11,73","9,41","83,97M","-11,57%"
"01.11.2022","11,50","16,19","16,88","10,86","135,66M","-28,70%"
"01.10.2022","16,13","14,50","16,46","11,73","157,22M","11,63%"
"01.09.2022","14,45","12,29","14,59","10,55","119,90M","17,38%"
"01.08.2022","12,31","13,26","16,75","11,93","95,13M","-7,09%"
"01.07.2022","13,25","12,85","15,56","11,93","84,37M","1,38%"
"01.06.2022","13,07","16,27","17,20","12,82","50,70M","-19,22%"
"01.05.2022","16,18","16,12","18,26","14,17","53,94M","0,37%"
