"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","3,86","3,41","4,05","2,81","899,10K","13,86%"
"01.03.2024","3,39","4,17","4,25","3,33","836,20K","-18,71%"
"01.02.2024","4,17","5,05","5,05","3,99","24,80M","-16,27%"
"01.01.2024","4,98","5,70","5,90","4,47","33,25M","-12,63%"
"01.12.2023","5,70","5,84","6,68","5,63","41,53M","-2,06%"
"01.11.2023","5,82","6,33","6,95","5,66","61,42M","-8,35%"
"01.10.2023","6,35","6,13","6,46","5,83","37,35M","3,59%"
"01.09.2023","6,13","5,57","6,52","5,17","57,86M","10,45%"
"01.08.2023","5,55","4,41","6,05","3,62","123,06M","25,57%"
"01.07.2023","4,42","4,59","4,84","3,91","32,24M","-2,86%"
"01.06.2023","4,55","3,84","5,95","3,80","44,69M","19,42%"
"01.05.2023","3,81","4,21","4,82","3,63","48,09M","-9,29%"
"01.04.2023","4,20","4,61","4,64","3,55","28,50M","-9,68%"
"01.03.2023","4,65","4,81","5,32","4,33","34,65M","-3,33%"
"01.02.2023","4,81","5,37","5,55","4,47","16,36M","-11,74%"
"01.01.2023","5,45","5,25","5,78","4,64","20,39M","0,00%"
"01.12.2022","5,45","5,63","6,05","4,35","24,68M","-8,40%"
"01.11.2022","5,95","7,83","7,97","5,50","27,81M","-22,53%"
"01.10.2022","7,68","7,09","8,15","6,67","33,26M","11,30%"
"01.09.2022","6,90","7,68","8,32","6,28","50,92M","-11,42%"
"01.08.2022","7,79","7,30","8,87","7,11","65,59M","25,24%"
"01.07.2022","6,22","5,61","6,31","5,23","35,53M","11,87%"
"01.06.2022","5,56","7,40","7,58","5,54","31,14M","-25,07%"
"01.05.2022","7,42","6,30","8,05","5,77","63,50M","17,78%"
