Empresa,1T2023_Dívida Líquida - (R$),1T2023_EBIT - (R$),1T2023_Lucro Líquido - (R$),1T2023_ROE - (%),1T2023_Receita Líquida - (R$),2T2023_Dívida Líquida - (R$),2T2023_EBIT - (R$),2T2023_Lucro Líquido - (R$),2T2023_ROE - (%),2T2023_Receita Líquida - (R$),3T2023_Dívida Líquida - (R$),3T2023_EBIT - (R$),3T2023_Lucro Líquido - (R$),3T2023_ROE - (%),3T2023_Receita Líquida - (R$),Classificação
PETR4,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,238304000000.0,47546000000.0,26760000000.0,6.9,124828000000.0,1
MGLU3,5038335000.0,16328000.0,-391221000.0,-3.8,9067334000.0,4744924000.0,-35923000.0,-301746000.0,-3.01,8572256000.0,4118464000.0,661189000.0,-498330000.0,-5.23,8578818000.0,2
OIBR3,20956798000.0,-102677000.0,-1267087000.0,-5.47,2535792000.0,21232781000.0,-266082000.0,-844524000.0,-3.53,2454171000.0,22719925000.0,-803758000.0,-2830492000.0,-10.55,2421776000.0,1
B3SA3,-2501944000.0,1356975000.0,1089458000.0,5.3,2460480000.0,-2834396000.0,1374315000.0,1052942000.0,5.13,2477122000.0,-3353958000.0,1347206000.0,1074307000.0,5.31,2490082000.0,2
COGN3,6158625000.0,259730000.0,53920000.0,0.45,1329876000.0,6161440000.0,147387000.0,-64907000.0,-0.39,1386677000.0,6077436000.0,90916000.0,-116656000.0,-0.85,1270040000.0,2
HAPV3,7416792000.0,93340000.0,-341550000.0,-0.71,6726190000.0,5848366000.0,63972000.0,-161941000.0,-0.33,6839824000.0,5478116000.0,102898000.0,-206701000.0,-0.42,6881864000.0,2
ITSA4,5956000000.0,3323000000.0,2896000000.0,3.8,1712000000.0,5000000000.0,4141000000.0,3691000000.0,4.67,1954000000.0,2824000000.0,3622000000.0,4283000000.0,5.13,1769000000.0,2
ABEV3,-8790000000.0,4875600000.0,3819200000.0,4.35,20531700000.0,-8438234000.0,3445417000.0,2597760000.0,2.94,18898114000.0,-13923399000.0,4897578000.0,4015004000.0,4.33,20317765000.0,1
PCAR3,3044000000.0,-105000000.0,-195000000.0,-2.17,4496000000.0,2942000000.0,-51000000.0,-352000000.0,-2.43,4755000000.0,2311000000.0,803000000.0,-1286000000.0,-25.82,4742000000.0,0
SOMA3,980814000.0,69231000.0,48894000.0,0.65,1202690000.0,1222328000.0,121888000.0,85371000.0,1.13,1295162000.0,1153134000.0,123694000.0,98901000.0,1.29,1364133000.0,2
BHIA3,8178000000.0,274000000.0,-297000000.0,-5.86,7354000000.0,7817000000.0,-42000000.0,-492000000.0,-10.67,7489000000.0,7012000000.0,-660000000.0,-836000000.0,-18.85,6590000000.0,2
CMIG4,7322212000.0,1859305000.0,1398206000.0,6.13,8646937000.0,8105244000.0,1575671000.0,1245382000.0,5.27,8819517000.0,7937842000.0,1694496000.0,1237307000.0,5.06,9426629000.0,0
RAIL3,11431846000.0,678543000.0,71046000.0,0.48,2383828000.0,11372965000.0,909448000.0,167202000.0,1.08,2763112000.0,12105972000.0,1252240000.0,482614000.0,3.02,3175072000.0,1
CVCB3,372503000.0,-36360000.0,-127955000.0,-67.27,295455000.0,17046000.0,-55288000.0,-166951000.0,-31.5,269357000.0,390621000.0,-31389000.0,-87504000.0,-20.05,375838000.0,2
LREN3,-372209000.0,-26661000.0,46766000.0,0.48,2775292000.0,-574857000.0,224430000.0,229700000.0,2.36,3504083000.0,-1112992000.0,91828000.0,172902000.0,1.77,3097096000.0,2
CPLE6,11815159000.0,1214240000.0,635490000.0,2.92,5530666000.0,11860135000.0,750978000.0,307706000.0,1.46,5359727000.0,9582453000.0,451549000.0,441163000.0,1.87,5543989000.0,2
AZUL4,22678430000.0,168030000.0,-736600000.0,-3.73,4478300000.0,21607032000.0,301217000.0,23908000.0,-0.12,4254195000.0,25175691000.0,671828000.0,-1614898000.0,-7.59,4916440000.0,2
PETR3,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,238304000000.0,47546000000.0,26760000000.0,6.9,124828000000.0,1
ALOS3,-2117074000.0,4693643000.0,2999150000.0,20.14,621413000.0,-1706947000.0,318842000.0,179368000.0,1.04,650181000.0,-1636599000.0,217638000.0,51646000.0,0.16,653037000.0,2
PETZ3,-48195000.0,29334000.0,2172000.0,0.12,766881000.0,-53318000.0,40018000.0,11391000.0,0.61,791648000.0,-15336000.0,35400000.0,1477000.0,0.08,794123000.0,2
HBSA3,3857787000.0,126220000.0,20070000.0,1.47,478090000.0,3572386000.0,243158000.0,117863000.0,7.91,597479000.0,3559412000.0,104409000.0,71258000.0,4.49,486973000.0,0
PRIO3,9990725000.0,1519843000.0,1162065000.0,10.93,2814955000.0,9094547000.0,1181189000.0,840969000.0,7.82,2311206000.0,8296741000.0,2232324000.0,1628824000.0,12.63,4045490000.0,0
MRVE3,6772501000.0,-31146000.0,40736000.0,0.52,1689885000.0,7518430000.0,112584000.0,192480000.0,3.01,1825658000.0,6956965000.0,24418000.0,-139725000.0,-1.99,1973612000.0,2
