Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
PETR4 - 2022,189848000000.0,65398000000.0,44783000000.0,10.26,141641000000.0,180367000000.0,96434000000.0,54484000000.0,13.23,170960000000.0,256715000000.0,74612000000.0,46236000000.0,12.37,170076000000.0,0
OIBR3 - 2022,28541960000.0,-369370000.0,1783950000.0,172.14,2486940000.0,16167680000.0,-611400000.0,-320660000.0,-41.52,2579520000.0,18365367000.0,-992420000.0,-3062460000.0,-134.16,2770060000.0,0
B3SA3 - 2022,-5093250000.0,1430770000.0,1101040000.0,5.05,2284700000.0,-2477130000.0,1399600000.0,1092280000.0,5.29,2241630000.0,-2874606000.0,1415720000.0,1030000000.0,5.04,2510000000.0,0
ITSA4 - 2022,4888000000.0,4167000000.0,3859000000.0,5.67,2131000000.0,5137000000.0,3270000000.0,3181000000.0,4.56,2214000000.0,7387000000.0,3961000000.0,3651000000.0,5.02,2161000000.0,0
ABEV3 - 2022,-11247310000.0,4162330000.0,3528840000.0,4.32,18439150000.0,-12468933000.0,4034080000.0,3064050000.0,3.44,17989000000.0,-16079870000.0,4054970000.0,3215010000.0,3.45,20587640000.0,0
SOMA3 - 2022,893720000.0,41540000.0,42530000.0,0.59,1017660000.0,997860000.0,140970000.0,118050000.0,1.62,1205380000.0,882513000.0,155310000.0,102140000.0,1.38,1289950000.0,0
BHIA3 - 2022,-1781000000.0,386000000.0,18000000.0,0.32,7399000000.0,-1286000000.0,446000000.0,6000000.0,0.11,7646000000.0,8084000000.0,68000000.0,-203000000.0,-3.69,7008000000.0,0
CMIG4 - 2022,7465000000.0,1632900000.0,1455570000.0,7.04,7847448000.0,7543350000.0,65670000.0,49880000.0,0.24,8213380000.0,6599267000.0,1501690000.0,1182350000.0,5.61,9223311000.0,1
RAIL3 - 2022,10671321000.0,478210000.0,-68250000.0,-0.45,2206360000.0,10560041000.0,675330000.0,30130000.0,0.23,2464630000.0,10192208000.0,993420000.0,309140000.0,2.04,2950600000.0,0
CPLE6 - 2022,7860526000.0,1170480000.0,669790000.0,2.91,5587750000.0,9233883000.0,387910000.0,-522370000.0,-2.6,5258570000.0,9006525000.0,792350000.0,378390000.0,1.73,5454720000.0,1
AZUL4 - 2022,19858480000.0,-149840000.0,2667050000.0,-17.05,3193040000.0,22071860000.0,136470000.0,-2480470000.0,-13.69,3924760000.0,21839457000.0,351230000.0,-2014990000.0,-10.01,4376810000.0,0
PETR3 - 2022,189848000000.0,65398000000.0,44783000000.0,10.26,141641000000.0,180367000000.0,96434000000.0,54484000000.0,13.23,170960000000.0,256715000000.0,74612000000.0,46236000000.0,12.37,170076000000.0,1
ALOS3 - 2022,-39340000.0,144500000.0,69430000.0,0.82,267360000.0,-37540000.0,107260000.0,37620000.0,0.35,258460000.0,-2633946000.0,160950000.0,108440000.0,1.35,273000000.0,0
PETZ3 - 2022,-326950000.0,24640000.0,2550000.0,0.14,632310000.0,-246680000.0,38370000.0,20470000.0,1.14,674300000.0,-265385000.0,37470000.0,10580000.0,0.58,739900000.0,0
HBSA3 - 2022,3693010000.0,160590000.0,33240000.0,2.5,456690000.0,4070890000.0,90150000.0,22040000.0,1.63,412290000.0,241929000.0,76000000.0,92650000.0,6.34,453310000.0,0
PRIO3 - 2022,-633290000.0,950710000.0,1068970000.0,15.9,1530000000.0,86640000.0,1022640000.0,639080000.0,7.82,1873990000.0,-113405000.0,1277590000.0,792310000.0,8.58,1985790000.0,0
MRVE3 - 2022,4776620000.0,116090000.0,78210000.0,1.18,1675100000.0,4735890000.0,341780000.0,86860000.0,0.94,1601640000.0,6202217000.0,-84820000.0,7310000.0,0.03,1694860000.0,0
POMO4 - 2022,1129440000.0,24680000.0,98040000.0,3.4,958650000.0,1294910000.0,22640000.0,26850000.0,1.09,1151790000.0,1439350000.0,58630000.0,46650000.0,1.94,1516290000.0,0
CPLE3 - 2022,7860526000.0,1170480000.0,669790000.0,2.91,5587750000.0,9233883000.0,387910000.0,-522370000.0,-2.6,5258570000.0,9006525000.0,792350000.0,378390000.0,1.73,5454720000.0,1
CMIN3 - 2022,-3275471000.0,2069700000.0,739140000.0,5.01,3891710000.0,-931761000.0,663600000.0,825720000.0,6.48,2679300000.0,-1536389000.0,683960000.0,514060000.0,3.9,2723540000.0,1
CCRO3 - 2022,20914740000.0,6426560000.0,3438390000.0,30.08,8263180000.0,-3751184000.0,1334100000.0,288210000.0,2.49,3416720000.0,20378624000.0,1695890000.0,641210000.0,4.92,3652230000.0,0
GGBR4 - 2022,5176810000.0,5013530000.0,2940390000.0,6.91,20330490000.0,4690040000.0,5790640000.0,4298500000.0,9.05,22968440000.0,5100265000.0,4462520000.0,3022250000.0,6.12,21149230000.0,1
GOAU4 - 2022,4390920000.0,5009840000.0,2952260000.0,6.6,20330490000.0,4049310000.0,5758670000.0,4267120000.0,8.46,22968442000.0,4459540000.0,4461160000.0,3035560000.0,5.99,21149230000.0,1
RAPT4 - 2022,2943840000.0,340490000.0,170330000.0,4.96,2476350000.0,2854080000.0,300850000.0,158230000.0,3.86,2772320000.0,2753810000.0,357410000.0,208180000.0,5.33,3055830000.0,0
SUZB3 - 2022,49921420000.0,3389080000.0,10306110000.0,40.76,9742840000.0,55156460000.0,4587440000.0,181790000.0,0.73,11519660000.0,58192932000.0,6947380000.0,5448100000.0,19.48,14198750000.0,1
WEGE3 - 2022,-186040000.0,1098590000.0,953480000.0,7.6,6828110000.0,-218620000.0,1121440000.0,926120000.0,6.81,7185790000.0,762550000.0,1425950000.0,1174200000.0,8.63,7911190000.0,0
RRRP3 - 2022,-1561440000.0,138090000.0,-335180000.0,-7.69,375290000.0,-395490000.0,166640000.0,32090000.0,1.36,399620000.0,546926000.0,108160000.0,469770000.0,10.0,502370000.0,0
